   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            

  12F1 : ethi-du                                           -                        ethi-du                                 Ethiopic                                ETHIOPIC SYLLABLE DU
  3065 : hira-du                                           duhiragana               hira-du                                 Hiragana                                HIRAGANA LETTER DU  
  30C5 : kata-du                                           dukatakana               kata-du                                 Katakana                                KATAKANA LETTER DU  

   C59 : telu-dza                                          teDza                    telu-dza                                Telugu                                  TELUGU LETTER DZA   
   F5B : tibt-dza                                          -                        tibt-dza                                Tibetan                                 TIBETAN LETTER DZA  

    65 : e                                                 e                        e                                       Basic Latin                             LATIN SMALL LETTER E
   364 : cmb-e                                             ecmb                     cmb-e                                   Combining Diacritical Marks             COMBINING LATIN SMALL LETTER E
   6D0 : ar-e                                              arE                      ar-e                                    Arabic                                  ARABIC LETTER E     
   90F : deva-e                                            dvE                      deva-e                                  Devanagari                              DEVANAGARI LETTER E 
   98F : beng-e                                            beE                      beng-e                                  Bengali                                 BENGALI LETTER E    
   A8F : gujr-e                                            gjE                      gujr-e                                  Gujarati                                GUJARATI LETTER E   
   B0F : orya-e                                            odE                      orya-e                                  Oriya                                   ORIYA LETTER E      
   B8E : taml-e                                            taE                      taml-e                                  Tamil                                   TAMIL LETTER E      
   C0E : telu-e                                            teE                      telu-e                                  Telugu                                  TELUGU LETTER E     
   C8E : knda-e                                            knE                      knda-e                                  Kannada                                 KANNADA LETTER E    
   D0E : mlym-e                                            mlE                      mlym-e                                  Malayalam                               MALAYALAM LETTER E  
  1821 : mong-e                                            -                        mong-e                                  Mongolian                               MONGOLIAN LETTER E  
  3048 : hira-e                                            ehiragana                hira-e                                  Hiragana                                HIRAGANA LETTER E   
  30A8 : kata-e                                            ekatakana                kata-e                                  Katakana                                KATAKANA LETTER E   
  311C : bopo-e                                            ebopomofo                bopo-e                                  Bopomofo                                BOPOMOFO LETTER E   
  3154 : ko-e                                              ekorean                  ko-e                                    Hangul Compatibility Jamo               HANGUL LETTER E     
  A98C : java-e                                            -                        java-e                                  Javanese                                JAVANESE LETTER E   
  FF45 : fwd-e                                             efullwidth               fwd-e                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN SMALL LETTER E
  FFC7 : hwd-e                                             -                        hwd-e                                   Halfwidth and Fullwidth Forms           HALFWIDTH HANGUL LETTER E

   90D : deva-ecandra                                      dvEcandra                deva-ecandra                            Devanagari                              DEVANAGARI LETTER CANDRA E
   A8D : gujr-ecandra                                      gjEcandra                gujr-ecandra                            Gujarati                                GUJARATI VOWEL CANDRA E

   A0F : guru-ee                                           guEe                     guru-ee                                 Gurmukhi                                GURMUKHI LETTER EE  
   B8F : taml-ee                                           taEe                     taml-ee                                 Tamil                                   TAMIL LETTER EE     
   C0F : telu-ee                                           teEe                     telu-ee                                 Telugu                                  TELUGU LETTER EE    
   C8F : knda-ee                                           knEe                     knda-ee                                 Kannada                                 KANNADA LETTER EE   
   D0F : mlym-ee                                           mlEe                     mlym-ee                                 Malayalam                               MALAYALAM LETTER EE 
  1827 : mong-ee                                           -                        mong-ee                                 Mongolian                               MONGOLIAN LETTER EE 

   A47 : guru-eesign                                       guEesign                 guru-eesign                             Gurmukhi                                GURMUKHI VOWEL SIGN EE
   BC7 : taml-eesign                                       taEesign                 taml-eesign                             Tamil                                   TAMIL VOWEL SIGN EE 
   C47 : telu-eesign                                       teEesign                 telu-eesign                             Telugu                                  TELUGU VOWEL SIGN EE
   CC7 : knda-eesign                                       knEesign                 knda-eesign                             Kannada                                 KANNADA VOWEL SIGN EE
   D47 : mlym-eesign                                       mlEesign                 mlym-eesign                             Malayalam                               MALAYALAM VOWEL SIGN EE

   567 : armn-eh                                           eharmenian               armn-eh                                 Armenian                                ARMENIAN SMALL LETTER EH
  311D : bopo-eh                                           ehbopomofo               bopo-eh                                 Bopomofo                                BOPOMOFO LETTER EH  

    38 : eight                                             eight                    eight                                   Basic Latin                             DIGIT EIGHT         
   668 : ar-eight                                          arEight                  ar-eight                                Arabic                                  ARABIC-INDIC DIGIT EIGHT
   96E : deva-eight                                        dvEight                  deva-eight                              Devanagari                              DEVANAGARI DIGIT EIGHT
   9EE : beng-eight                                        beEight                  beng-eight                              Bengali                                 BENGALI DIGIT EIGHT 
   A6E : guru-eight                                        guEight                  guru-eight                              Gurmukhi                                GURMUKHI DIGIT EIGHT
   AEE : gujr-eight                                        gjEight                  gujr-eight                              Gujarati                                GUJARATI DIGIT EIGHT
   B6E : orya-eight                                        odEight                  orya-eight                              Oriya                                   ORIYA DIGIT EIGHT   
   BEE : taml-eight                                        taEight                  taml-eight                              Tamil                                   TAMIL DIGIT EIGHT   
   C6E : telu-eight                                        teEight                  telu-eight                              Telugu                                  TELUGU DIGIT EIGHT  
   CEE : knda-eight                                        knEight                  knda-eight                              Kannada                                 KANNADA DIGIT EIGHT 
   D6E : mlym-eight                                        mlEight                  mlym-eight                              Malayalam                               MALAYALAM DIGIT EIGHT
   E58 : thai-eight                                        tiEight                  thai-eight                              Thai                                    THAI DIGIT EIGHT    
   F28 : tibt-eight                                        -                        tibt-eight                              Tibetan                                 TIBETAN DIGIT EIGHT 
  1370 : ethi-eight                                        -                        ethi-eight                              Ethiopic                                ETHIOPIC DIGIT EIGHT
  1818 : mong-eight                                        -                        mong-eight                              Mongolian                               MONGOLIAN DIGIT EIGHT
  A9D8 : java-eight                                        -                        java-eight                              Javanese                                JAVANESE DIGIT EIGHT
  FF18 : fwd-eight                                         eightfullwidth           fwd-eight                               Halfwidth and Fullwidth Forms           FULLWIDTH DIGIT EIGHT

   513 : elhookcyr                                         -                        elhookcyr                               Cyrillic Supplement                     CYRILLIC SMALL LETTER EL WITH HOOK
   521 : elhookcyr                                         -                        elhookcyr                               Cyrillic Supplement                     CYRILLIC SMALL LETTER EL WITH MIDDLE HOOK

  1801 : mong-ellipsis                                     -                        mong-ellipsis                           Mongolian                               MONGOLIAN ELLIPSIS  
  2026 : ellipsis                                          ellipsis                 ellipsis                                General Punctuation                     HORIZONTAL ELLIPSIS 

  2014 : emdash                                            emdash                   emdash                                  General Punctuation                     EM DASH             
  FE58 : smll-emdash                                       -                        smll-emdash                             Small Form Variants                     SMALL EM DASH       

   43D : encyr                                             en                       encyr                                   Cyrillic                                CYRILLIC SMALL LETTER EN
  3123 : bopo-en                                           enbopomofo               bopo-en                                 Bopomofo                                BOPOMOFO LETTER EN  

   14B : eng                                               eng                      eng                                     Latin Extended-A                        LATIN SMALL LETTER ENG
  3125 : bopo-eng                                          engbopomofo              bopo-eng                                Bopomofo                                BOPOMOFO LETTER ENG 

   4C8 : enhookcyr                                         enhookcyrillic           enhookcyr                               Cyrillic                                CYRILLIC SMALL LETTER EN WITH HOOK
   523 : enhookcyr                                         -                        enhookcyr                               Cyrillic Supplement                     CYRILLIC SMALL LETTER EN WITH MIDDLE HOOK

  3153 : ko-eo                                             eokorean                 ko-eo                                   Hangul Compatibility Jamo               HANGUL LETTER EO    
  FFC6 : hwd-eo                                            -                        hwd-eo                                  Halfwidth and Fullwidth Forms           HALFWIDTH HANGUL LETTER EO

    3D : equal                                             equal                    equal                                   Basic Latin                             EQUALS SIGN         
  FE66 : smll-equal                                        equalsmall               smll-equal                              Small Form Variants                     SMALL EQUALS SIGN   
  FF1D : fwd-equal                                         equalfullwidth           fwd-equal                               Halfwidth and Fullwidth Forms           FULLWIDTH EQUALS SIGN

   440 : ercyr                                             er                       ercyr                                   Cyrillic                                CYRILLIC SMALL LETTER ER
  3126 : bopo-er                                           erbopomofo               bopo-er                                 Bopomofo                                BOPOMOFO LETTER ER  

   258 : ipa-ereversed                                     ereversed                ipa-ereversed                           IPA Extensions                          LATIN SMALL LETTER REVERSED E
   44D : ereversedcyr                                      ecyr                     ereversedcyr                            Cyrillic                                CYRILLIC SMALL LETTER E

   947 : deva-esign                                        dvEsign                  deva-esign                              Devanagari                              DEVANAGARI VOWEL SIGN E
   9C7 : beng-esign                                        beEsign                  beng-esign                              Bengali                                 BENGALI VOWEL SIGN E
   AC7 : gujr-esign                                        gjEsign                  gujr-esign                              Gujarati                                GUJARATI VOWEL SIGN E
   B47 : orya-esign                                        odEsign                  orya-esign                              Oriya                                   ORIYA VOWEL SIGN E  
   BC6 : taml-esign                                        taEsign                  taml-esign                              Tamil                                   TAMIL VOWEL SIGN E  
   C46 : telu-esign                                        teEsign                  telu-esign                              Telugu                                  TELUGU VOWEL SIGN E 
   CC6 : knda-esign                                        knEsign                  knda-esign                              Kannada                                 KANNADA VOWEL SIGN E
   D46 : mlym-esign                                        mlEsign                  mlym-esign                              Malayalam                               MALAYALAM VOWEL SIGN E

   945 : deva-esigncandra                                  dvEcandrasign            deva-esigncandra                        Devanagari                              DEVANAGARI VOWEL SIGN CANDRA E
   AC5 : gujr-esigncandra                                  gjEcandrasign            gujr-esigncandra                        Gujarati                                GUJARATI VOWEL SIGN CANDRA E

  3047 : hira-esmall                                       esmallhiragana           hira-esmall                             Hiragana                                HIRAGANA LETTER SMALL E
  30A7 : kata-esmall                                       esmallkatakana           kata-esmall                             Katakana                                KATAKANA LETTER SMALL E

   568 : armn-et                                           etarmenian               armn-et                                 Armenian                                ARMENIAN SMALL LETTER ET
  A76B : et                                                -                        et                                      Latin Extended-D                        LATIN SMALL LETTER ET

  3161 : ko-eu                                             eukorean                 ko-eu                                   Hangul Compatibility Jamo               HANGUL LETTER EU    
  FFDA : hwd-eu                                            -                        hwd-eu                                  Halfwidth and Fullwidth Forms           HALFWIDTH HANGUL LETTER EU

    21 : exclam                                            exclam                   exclam                                  Basic Latin                             EXCLAMATION MARK    
   55C : armn-exclam                                       exclamarmenian           armn-exclam                             Armenian                                ARMENIAN EXCLAMATION MARK
  FE15 : vert-exclam                                       exclamvert               vert-exclam                             Vertical Forms                          PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK
  FE57 : smll-exclam                                       -                        smll-exclam                             Small Form Variants                     SMALL EXCLAMATION MARK
  FF01 : fwd-exclam                                        exclamfullwidth          fwd-exclam                              Halfwidth and Fullwidth Forms           FULLWIDTH EXCLAMATION MARK

    66 : f                                                 f                        f                                       Basic Latin                             LATIN SMALL LETTER F
  3108 : bopo-f                                            fbopomofo                bopo-f                                  Bopomofo                                BOPOMOFO LETTER F   
  FF46 : fwd-f                                             ffullwidth               fwd-f                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN SMALL LETTER F

   95E : deva-fa                                           dvFa                     deva-fa                                 Devanagari                              DEVANAGARI LETTER FA
   A5E : guru-fa                                           guFa                     guru-fa                                 Gurmukhi                                GURMUKHI LETTER FA  
   CDE : knda-fa                                           knFa                     knda-fa                                 Kannada                                 KANNADA LETTER FA   
  1348 : ethi-fa                                           -                        ethi-fa                                 Ethiopic                                ETHIOPIC SYLLABLE FA
  1839 : mong-fa                                           -                        mong-fa                                 Mongolian                               MONGOLIAN LETTER FA 

   586 : armn-feh                                          feharmenian              armn-feh                                Armenian                                ARMENIAN SMALL LETTER FEH
   641 : ar-feh                                            arFeh                    ar-feh                                  Arabic                                  ARABIC LETTER FEH   

  134A : ethi-fi                                           -                        ethi-fi                                 Ethiopic                                ETHIOPIC SYLLABLE FI
  FB01 : fi                                                fi                       fi                                      Alphabetic Presentation Forms           LATIN SMALL LIGATURE FI

    35 : five                                              five                     five                                    Basic Latin                             DIGIT FIVE          
   665 : ar-five                                           arFive                   ar-five                                 Arabic                                  ARABIC-INDIC DIGIT FIVE
   96B : deva-five                                         dvFive                   deva-five                               Devanagari                              DEVANAGARI DIGIT FIVE
   9EB : beng-five                                         beFive                   beng-five                               Bengali                                 BENGALI DIGIT FIVE  
   A6B : guru-five                                         guFive                   guru-five                               Gurmukhi                                GURMUKHI DIGIT FIVE 
   AEB : gujr-five                                         gjFive                   gujr-five                               Gujarati                                GUJARATI DIGIT FIVE 
   B6B : orya-five                                         odFive                   orya-five                               Oriya                                   ORIYA DIGIT FIVE    
   BEB : taml-five                                         taFive                   taml-five                               Tamil                                   TAMIL DIGIT FIVE    
   C6B : telu-five                                         teFive                   telu-five                               Telugu                                  TELUGU DIGIT FIVE   
   CEB : knda-five                                         knFive                   knda-five                               Kannada                                 KANNADA DIGIT FIVE  
   D6B : mlym-five                                         mlFive                   mlym-five                               Malayalam                               MALAYALAM DIGIT FIVE
   E55 : thai-five                                         tiFive                   thai-five                               Thai                                    THAI DIGIT FIVE     
   F25 : tibt-five                                         -                        tibt-five                               Tibetan                                 TIBETAN DIGIT FIVE  
  136D : ethi-five                                         -                        ethi-five                               Ethiopic                                ETHIOPIC DIGIT FIVE 
  1815 : mong-five                                         -                        mong-five                               Mongolian                               MONGOLIAN DIGIT FIVE
  A9D5 : java-five                                         -                        java-five                               Javanese                                JAVANESE DIGIT FIVE 
  FF15 : fwd-five                                          fivefullwidth            fwd-five                                Halfwidth and Fullwidth Forms           FULLWIDTH DIGIT FIVE

    34 : four                                              four                     four                                    Basic Latin                             DIGIT FOUR          
   664 : ar-four                                           arFour                   ar-four                                 Arabic                                  ARABIC-INDIC DIGIT FOUR
   96A : deva-four                                         dvFour                   deva-four                               Devanagari                              DEVANAGARI DIGIT FOUR
   9EA : beng-four                                         beFour                   beng-four                               Bengali                                 BENGALI DIGIT FOUR  
   A6A : guru-four                                         guFour                   guru-four                               Gurmukhi                                GURMUKHI DIGIT FOUR 
   AEA : gujr-four                                         gjFour                   gujr-four                               Gujarati                                GUJARATI DIGIT FOUR 
   B6A : orya-four                                         odFour                   orya-four                               Oriya                                   ORIYA DIGIT FOUR    
   BEA : taml-four                                         taFour                   taml-four                               Tamil                                   TAMIL DIGIT FOUR    
   C6A : telu-four                                         teFour                   telu-four                               Telugu                                  TELUGU DIGIT FOUR   
   CEA : knda-four                                         knFour                   knda-four                               Kannada                                 KANNADA DIGIT FOUR  
   D6A : mlym-four                                         mlFour                   mlym-four                               Malayalam                               MALAYALAM DIGIT FOUR
   E54 : thai-four                                         tiFour                   thai-four                               Thai                                    THAI DIGIT FOUR     
   F24 : tibt-four                                         -                        tibt-four                               Tibetan                                 TIBETAN DIGIT FOUR  
  136C : ethi-four                                         -                        ethi-four                               Ethiopic                                ETHIOPIC DIGIT FOUR 
  1814 : mong-four                                         -                        mong-four                               Mongolian                               MONGOLIAN DIGIT FOUR
  A9D4 : java-four                                         -                        java-four                               Javanese                                JAVANESE DIGIT FOUR 
  FF14 : fwd-four                                          fourfullwidth            fwd-four                                Halfwidth and Fullwidth Forms           FULLWIDTH DIGIT FOUR

   607 : ar-fourthroot                                     -                        ar-fourthroot                           Arabic                                  ARABIC-INDIC FOURTH ROOT
  221C : math-fourthroot                                   -                        math-fourthroot                         Mathematical Operators                  FOURTH ROOT         

    67 : g                                                 g                        g                                       Basic Latin                             LATIN SMALL LETTER G
  310D : bopo-g                                            gbopomofo                bopo-g                                  Bopomofo                                BOPOMOFO LETTER G   
  FF47 : fwd-g                                             gfullwidth               fwd-g                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN SMALL LETTER G

   917 : deva-ga                                           dvGa                     deva-ga                                 Devanagari                              DEVANAGARI LETTER GA
   997 : beng-ga                                           beGa                     beng-ga                                 Bengali                                 BENGALI LETTER GA   
   A17 : guru-ga                                           guGa                     guru-ga                                 Gurmukhi                                GURMUKHI LETTER GA  
   A97 : gujr-ga                                           gjGa                     gujr-ga                                 Gujarati                                GUJARATI LETTER GA  
   B17 : orya-ga                                           odGa                     orya-ga                                 Oriya                                   ORIYA LETTER GA     
   C17 : telu-ga                                           teGa                     telu-ga                                 Telugu                                  TELUGU LETTER GA    
   C97 : knda-ga                                           knGa                     knda-ga                                 Kannada                                 KANNADA LETTER GA   
   D17 : mlym-ga                                           mlGa                     mlym-ga                                 Malayalam                               MALAYALAM LETTER GA 
   F42 : tibt-ga                                           -                        tibt-ga                                 Tibetan                                 TIBETAN LETTER GA   
  1308 : ethi-ga                                           -                        ethi-ga                                 Ethiopic                                ETHIOPIC SYLLABLE GA
  182D : mong-ga                                           -                        mong-ga                                 Mongolian                               MONGOLIAN LETTER GA 
  304C : hira-ga                                           gahiragana               hira-ga                                 Hiragana                                HIRAGANA LETTER GA  
  30AC : kata-ga                                           gakatakana               kata-ga                                 Katakana                                KATAKANA LETTER GA  
  A992 : java-ga                                           -                        java-ga                                 Javanese                                JAVANESE LETTER GA  

   263 : ipa-gamma                                         gammalatin               ipa-gamma                               IPA Extensions                          LATIN SMALL LETTER GAMMA
   3B3 : gamma                                             gamma                    gamma                                   Greek and Coptic                        GREEK SMALL LETTER GAMMA

   433 : gecyr                                             ghe                      gecyr                                   Cyrillic                                CYRILLIC SMALL LETTER GHE
  130D : ethi-ge                                           -                        ethi-ge                                 Ethiopic                                ETHIOPIC SYLLABLE GE
  3052 : hira-ge                                           gehiragana               hira-ge                                 Hiragana                                HIRAGANA LETTER GE  
  30B2 : kata-ge                                           gekatakana               kata-ge                                 Katakana                                KATAKANA LETTER GE  

   97B : deva-gga                                          dvGga                    deva-gga                                Devanagari                              DEVANAGARI LETTER GGA
  1318 : ethi-gga                                          -                        ethi-gga                                Ethiopic                                ETHIOPIC SYLLABLE GGA

   918 : deva-gha                                          dvGha                    deva-gha                                Devanagari                              DEVANAGARI LETTER GHA
   998 : beng-gha                                          beGha                    beng-gha                                Bengali                                 BENGALI LETTER GHA  
   A18 : guru-gha                                          guGha                    guru-gha                                Gurmukhi                                GURMUKHI LETTER GHA 
   A98 : gujr-gha                                          gjGha                    gujr-gha                                Gujarati                                GUJARATI LETTER GHA 
   B18 : orya-gha                                          odGha                    orya-gha                                Oriya                                   ORIYA LETTER GHA    
   C18 : telu-gha                                          teGha                    telu-gha                                Telugu                                  TELUGU LETTER GHA   
   C98 : knda-gha                                          knGha                    knda-gha                                Kannada                                 KANNADA LETTER GHA  
   D18 : mlym-gha                                          mlGha                    mlym-gha                                Malayalam                               MALAYALAM LETTER GHA
   F43 : tibt-gha                                          -                        tibt-gha                                Tibetan                                 TIBETAN LETTER GHA  

   95A : deva-ghha                                         dvGhha                   deva-ghha                               Devanagari                              DEVANAGARI LETTER GHHA
   A5A : guru-ghha                                         guGhha                   guru-ghha                               Gurmukhi                                GURMUKHI LETTER GHHA

  130A : ethi-gi                                           -                        ethi-gi                                 Ethiopic                                ETHIOPIC SYLLABLE GI
  304E : hira-gi                                           gihiragana               hira-gi                                 Hiragana                                HIRAGANA LETTER GI  
  30AE : kata-gi                                           gikatakana               kata-gi                                 Katakana                                KATAKANA LETTER GI  

   5D2 : gimel-hb                                          heGimel                  gimel-hb                                Hebrew                                  HEBREW LETTER GIMEL 
  2137 : lttr-gimel                                        -                        lttr-gimel                              Letterlike Symbols                      GIMEL SYMBOL        

   242 : glottalstop                                       glottalstoplatin         glottalstop                             Latin Extended-B                        LATIN SMALL LETTER GLOTTAL STOP
   294 : ipa-glottalstop                                   glottalstop              ipa-glottalstop                         IPA Extensions                          LATIN LETTER GLOTTAL STOP
   97D : deva-glottalstop                                  dvStop                   deva-glottalstop                        Devanagari                              DEVANAGARI LETTER GLOTTAL STOP

  130E : ethi-go                                           -                        ethi-go                                 Ethiopic                                ETHIOPIC SYLLABLE GO
  3054 : hira-go                                           gohiragana               hira-go                                 Hiragana                                HIRAGANA LETTER GO  
  30B4 : kata-go                                           gokatakana               kata-go                                 Katakana                                KATAKANA LETTER GO  

    60 : grave                                             grave                    grave                                   Basic Latin                             GRAVE ACCENT        
   953 : deva-grave                                        dvGrave                  deva-grave                              Devanagari                              DEVANAGARI GRAVE ACCENT
  1FEF : gr-grave                                          varia                    gr-grave                                Greek Extended                          GREEK VARIA         
  FF40 : fwd-grave                                         gravefullwidth           fwd-grave                               Halfwidth and Fullwidth Forms           FULLWIDTH GRAVE ACCENT

    3E : greater                                           greater                  greater                                 Basic Latin                             GREATER-THAN SIGN   
  FE65 : smll-greater                                      greatersmall             smll-greater                            Small Form Variants                     SMALL GREATER-THAN SIGN
  FF1E : fwd-greater                                       greaterfullwidth         fwd-greater                             Halfwidth and Fullwidth Forms           FULLWIDTH GREATER-THAN SIGN

   261 : ipa-gscript                                       gscript                  ipa-gscript                             IPA Extensions                          LATIN SMALL LETTER SCRIPT G
  210A : lttr-gscript                                      gscriptmath              lttr-gscript                            Letterlike Symbols                      SCRIPT SMALL G      

  1309 : ethi-gu                                           -                        ethi-gu                                 Ethiopic                                ETHIOPIC SYLLABLE GU
  3050 : hira-gu                                           guhiragana               hira-gu                                 Hiragana                                HIRAGANA LETTER GU  
  30B0 : kata-gu                                           gukatakana               kata-gu                                 Katakana                                KATAKANA LETTER GU  

    68 : h                                                 h                        h                                       Basic Latin                             LATIN SMALL LETTER H
   36A : cmb-h                                             hcmb                     cmb-h                                   Combining Diacritical Marks             COMBINING LATIN SMALL LETTER H
  310F : bopo-h                                            hbopomofo                bopo-h                                  Bopomofo                                BOPOMOFO LETTER H   
  FF48 : fwd-h                                             hfullwidth               fwd-h                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN SMALL LETTER H

   445 : hacyr                                             ha                       hacyr                                   Cyrillic                                CYRILLIC SMALL LETTER HA
   939 : deva-ha                                           dvHa                     deva-ha                                 Devanagari                              DEVANAGARI LETTER HA
   9B9 : beng-ha                                           beHa                     beng-ha                                 Bengali                                 BENGALI LETTER HA   
   A39 : guru-ha                                           guHa                     guru-ha                                 Gurmukhi                                GURMUKHI LETTER HA  
   AB9 : gujr-ha                                           gjHa                     gujr-ha                                 Gujarati                                GUJARATI LETTER HA  
   B39 : orya-ha                                           odHa                     orya-ha                                 Oriya                                   ORIYA LETTER HA     
   BB9 : taml-ha                                           taHa                     taml-ha                                 Tamil                                   TAMIL LETTER HA     
   C39 : telu-ha                                           teHa                     telu-ha                                 Telugu                                  TELUGU LETTER HA    
   CB9 : knda-ha                                           knHa                     knda-ha                                 Kannada                                 KANNADA LETTER HA   
   D39 : mlym-ha                                           mlHa                     mlym-ha                                 Malayalam                               MALAYALAM LETTER HA 
   F67 : tibt-ha                                           -                        tibt-ha                                 Tibetan                                 TIBETAN LETTER HA   
  1200 : ethi-ha                                           -                        ethi-ha                                 Ethiopic                                ETHIOPIC SYLLABLE HA
  306F : hira-ha                                           hahiragana               hira-ha                                 Hiragana                                HIRAGANA LETTER HA  
  30CF : kata-ha                                           hakatakana               kata-ha                                 Katakana                                KATAKANA LETTER HA  
  A9B2 : java-ha                                           -                        java-ha                                 Javanese                                JAVANESE LETTER HA  

  1203 : ethi-haa                                          -                        ethi-haa                                Ethiopic                                ETHIOPIC SYLLABLE HAA
  183E : mong-haa                                          -                        mong-haa                                Mongolian                               MONGOLIAN LETTER HAA

   5D4 : he-hb                                             heHe                     he-hb                                   Hebrew                                  HEBREW LETTER HE    
  1205 : ethi-he                                           -                        ethi-he                                 Ethiopic                                ETHIOPIC SYLLABLE HE
  3078 : hira-he                                           hehiragana               hira-he                                 Hiragana                                HIRAGANA LETTER HE  
  30D8 : kata-he                                           hekatakana               kata-he                                 Katakana                                KATAKANA LETTER HE  

  1202 : ethi-hi                                           -                        ethi-hi                                 Ethiopic                                ETHIOPIC SYLLABLE HI
  3072 : hira-hi                                           hihiragana               hira-hi                                 Hiragana                                HIRAGANA LETTER HI  
  30D2 : kata-hi                                           hikatakana               kata-hi                                 Katakana                                KATAKANA LETTER HI  

  314E : ko-hieuh                                          hieuhkorean              ko-hieuh                                Hangul Compatibility Jamo               HANGUL LETTER HIEUH 
  FFBE : hwd-hieuh                                         -                        hwd-hieuh                               Halfwidth and Fullwidth Forms           HALFWIDTH HANGUL LETTER HIEUH

   570 : armn-ho                                           hoarmenian               armn-ho                                 Armenian                                ARMENIAN SMALL LETTER HO
  1206 : ethi-ho                                           -                        ethi-ho                                 Ethiopic                                ETHIOPIC SYLLABLE HO
  307B : hira-ho                                           hohiragana               hira-ho                                 Hiragana                                HIRAGANA LETTER HO  
  30DB : kata-ho                                           hokatakana               kata-ho                                 Katakana                                KATAKANA LETTER HO  

  1201 : ethi-hu                                           -                        ethi-hu                                 Ethiopic                                ETHIOPIC SYLLABLE HU
  3075 : hira-hu                                           huhiragana               hira-hu                                 Hiragana                                HIRAGANA LETTER HU  
