   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
  FF2F : fwd-O                                             Ofullwidth               fwd-O                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER O

   19F : Obar                                              Obar                     Obar                                    Latin Extended-B                        LATIN CAPITAL LETTER O WITH MIDDLE TILDE
   4E8 : Obarcyr                                           Obarcyr                  Obarcyr                                 Cyrillic                                CYRILLIC CAPITAL LETTER BARRED O

    D6 : Odieresis                                         Odieresis                Odieresis                               Latin-1 Supplement                      LATIN CAPITAL LETTER O WITH DIAERESIS
   4E6 : Odieresiscyr                                      Odieresiscyr             Odieresiscyr                            Cyrillic                                CYRILLIC CAPITAL LETTER O WITH DIAERESIS

   3A9 : Omega                                             Omega                    Omega                                   Greek and Coptic                        GREEK CAPITAL LETTER OMEGA
   460 : Omegacyr                                          Omegacyrillic            Omegacyr                                Cyrillic                                CYRILLIC CAPITAL LETTER OMEGA

    50 : P                                                 P                        P                                       Basic Latin                             LATIN CAPITAL LETTER P
  FF30 : fwd-P                                             Pfullwidth               fwd-P                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER P

   3A8 : Psi                                               Psi                      Psi                                     Greek and Coptic                        GREEK CAPITAL LETTER PSI
   470 : Psicyr                                            Psicyrillic              Psicyr                                  Cyrillic                                CYRILLIC CAPITAL LETTER PSI

    51 : Q                                                 Q                        Q                                       Basic Latin                             LATIN CAPITAL LETTER Q
  FF31 : fwd-Q                                             Qfullwidth               fwd-Q                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER Q

    52 : R                                                 R                        R                                       Basic Latin                             LATIN CAPITAL LETTER R
  FF32 : fwd-R                                             Rfullwidth               fwd-R                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER R

    53 : S                                                 S                        S                                       Basic Latin                             LATIN CAPITAL LETTER S
  FF33 : fwd-S                                             Sfullwidth               fwd-S                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER S

   18F : Schwa                                             Schwa                    Schwa                                   Latin Extended-B                        LATIN CAPITAL LETTER SCHWA
   4D8 : Schwacyr                                          Schwacyr                 Schwacyr                                Cyrillic                                CYRILLIC CAPITAL LETTER SCHWA

   428 : Shacyr                                            Sha                      Shacyr                                  Cyrillic                                CYRILLIC CAPITAL LETTER SHA
   547 : armn-Sha                                          Shaarmenian              armn-Sha                                Armenian                                ARMENIAN CAPITAL LETTER SHA

    54 : T                                                 T                        T                                       Basic Latin                             LATIN CAPITAL LETTER T
  FF34 : fwd-T                                             Tfullwidth               fwd-T                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER T

    55 : U                                                 U                        U                                       Basic Latin                             LATIN CAPITAL LETTER U
   423 : Ucyr                                              Ucyr                     Ucyr                                    Cyrillic                                CYRILLIC CAPITAL LETTER U
  FF35 : fwd-U                                             Ufullwidth               fwd-U                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER U

    DC : Udieresis                                         Udieresis                Udieresis                               Latin-1 Supplement                      LATIN CAPITAL LETTER U WITH DIAERESIS
   4F0 : Udieresiscyr                                      Udieresiscyr             Udieresiscyr                            Cyrillic                                CYRILLIC CAPITAL LETTER U WITH DIAERESIS

   16A : Umacron                                           Umacron                  Umacron                                 Latin Extended-A                        LATIN CAPITAL LETTER U WITH MACRON
   4EE : Umacroncyr                                        Umacroncyr               Umacroncyr                              Cyrillic                                CYRILLIC CAPITAL LETTER U WITH MACRON

    56 : V                                                 V                        V                                       Basic Latin                             LATIN CAPITAL LETTER V
