# Glagolitic 2C00 - 2C5F
2C4A	glagoliticsmallletterpe	GLAGOLITIC SMALL LETTER PE
2C4B	glagoliticsmalllettershta	GLAGOLITIC SMALL LETTER SHTA
2C4C	glagoliticsmalllettertsi	GLAGOLITIC SMALL LETTER TSI
2C4D	glagoliticsmallletterchrivi	GLAGOLITIC SMALL LETTER CHRIVI
2C4E	glagoliticsmalllettersha	GLAGOLITIC SMALL LETTER SHA
2C4F	glagoliticsmallletteryeru	GLAGOLITIC SMALL LETTER YERU
2C50	glagoliticsmallletteryeri	GLAGOLITIC SMALL LETTER YERI
2C51	glagoliticsmallletteryati	GLAGOLITIC SMALL LETTER YATI
2C52	glagoliticsmallletterspideryha	GLAGOLITIC SMALL LETTER SPIDERY HA
2C53	glagoliticsmallletteryu	GLAGOLITIC SMALL LETTER YU
2C54	glagoliticsmalllettersmallyus	GLAGOLITIC SMALL LETTER SMALL YUS
2C55	glagoliticsmalllettersmallyuswithtail	GLAGOLITIC SMALL LETTER SMALL YUS WITH TAIL
2C56	glagoliticsmallletteryo	GLAGOLITIC SMALL LETTER YO
2C57	glagoliticsmallletteriotatedsmallyus	GLAGOLITIC SMALL LETTER IOTATED SMALL YUS
2C58	glagoliticsmallletterbigyus	GLAGOLITIC SMALL LETTER BIG YUS
2C59	glagoliticsmallletteriotatedbigyus	GLAGOLITIC SMALL LETTER IOTATED BIG YUS
2C5A	glagoliticsmallletterfita	GLAGOLITIC SMALL LETTER FITA
2C5B	glagoliticsmallletterizhitsa	GLAGOLITIC SMALL LETTER IZHITSA
2C5C	glagoliticsmalllettershtapic	GLAGOLITIC SMALL LETTER SHTAPIC
2C5D	glagoliticsmalllettertrokutastia	GLAGOLITIC SMALL LETTER TROKUTASTI A
2C5E	glagoliticsmallletterlatinatemyslite	GLAGOLITIC SMALL LETTER LATINATE MYSLITE
