# Braille Patterns 2800 - 28FF
2867	braillepatterndots12367	BRAILLE PATTERN DOTS-12367
2868	braillepatterndots467	BRAILLE PATTERN DOTS-467
2869	braillepatterndots1467	BRAILLE PATTERN DOTS-1467
286A	braillepatterndots2467	BRAILLE PATTERN DOTS-2467
286B	braillepatterndots12467	BRAILLE PATTERN DOTS-12467
286C	braillepatterndots3467	BRAILLE PATTERN DOTS-3467
286D	braillepatterndots13467	BRAILLE PATTERN DOTS-13467
286E	braillepatterndots23467	BRAILLE PATTERN DOTS-23467
286F	braillepatterndots123467	BRAILLE PATTERN DOTS-123467
2870	braillepatterndots567	BRAILLE PATTERN DOTS-567
2871	braillepatterndots1567	BRAILLE PATTERN DOTS-1567
2872	braillepatterndots2567	BRAILLE PATTERN DOTS-2567
2873	braillepatterndots12567	BRAILLE PATTERN DOTS-12567
2874	braillepatterndots3567	BRAILLE PATTERN DOTS-3567
2875	braillepatterndots13567	BRAILLE PATTERN DOTS-13567
2876	braillepatterndots23567	BRAILLE PATTERN DOTS-23567
2877	braillepatterndots123567	BRAILLE PATTERN DOTS-123567
2878	braillepatterndots4567	BRAILLE PATTERN DOTS-4567
2879	braillepatterndots14567	BRAILLE PATTERN DOTS-14567
287A	braillepatterndots24567	BRAILLE PATTERN DOTS-24567
287B	braillepatterndots124567	BRAILLE PATTERN DOTS-124567
287C	braillepatterndots34567	BRAILLE PATTERN DOTS-34567
287D	braillepatterndots134567	BRAILLE PATTERN DOTS-134567
287E	braillepatterndots234567	BRAILLE PATTERN DOTS-234567
287F	braillepatterndots1234567	BRAILLE PATTERN DOTS-1234567
2880	braillepatterndots8	BRAILLE PATTERN DOTS-8
2881	braillepatterndots18	BRAILLE PATTERN DOTS-18
2882	braillepatterndots28	BRAILLE PATTERN DOTS-28
2883	braillepatterndots128	BRAILLE PATTERN DOTS-128
2884	braillepatterndots38	BRAILLE PATTERN DOTS-38
2885	braillepatterndots138	BRAILLE PATTERN DOTS-138
2886	braillepatterndots238	BRAILLE PATTERN DOTS-238
2887	braillepatterndots1238	BRAILLE PATTERN DOTS-1238
2888	braillepatterndots48	BRAILLE PATTERN DOTS-48
2889	braillepatterndots148	BRAILLE PATTERN DOTS-148
288A	braillepatterndots248	BRAILLE PATTERN DOTS-248
288B	braillepatterndots1248	BRAILLE PATTERN DOTS-1248
288C	braillepatterndots348	BRAILLE PATTERN DOTS-348
288D	braillepatterndots1348	BRAILLE PATTERN DOTS-1348
288E	braillepatterndots2348	BRAILLE PATTERN DOTS-2348
288F	braillepatterndots12348	BRAILLE PATTERN DOTS-12348
2890	braillepatterndots58	BRAILLE PATTERN DOTS-58
2891	braillepatterndots158	BRAILLE PATTERN DOTS-158
2892	braillepatterndots258	BRAILLE PATTERN DOTS-258
2893	braillepatterndots1258	BRAILLE PATTERN DOTS-1258
2894	braillepatterndots358	BRAILLE PATTERN DOTS-358
2895	braillepatterndots1358	BRAILLE PATTERN DOTS-1358
2896	braillepatterndots2358	BRAILLE PATTERN DOTS-2358
2897	braillepatterndots12358	BRAILLE PATTERN DOTS-12358
2898	braillepatterndots458	BRAILLE PATTERN DOTS-458
2899	braillepatterndots1458	BRAILLE PATTERN DOTS-1458
289A	braillepatterndots2458	BRAILLE PATTERN DOTS-2458
289B	braillepatterndots12458	BRAILLE PATTERN DOTS-12458
289C	braillepatterndots3458	BRAILLE PATTERN DOTS-3458
289D	braillepatterndots13458	BRAILLE PATTERN DOTS-13458
289E	braillepatterndots23458	BRAILLE PATTERN DOTS-23458
289F	braillepatterndots123458	BRAILLE PATTERN DOTS-123458
28A0	braillepatterndots68	BRAILLE PATTERN DOTS-68
28A1	braillepatterndots168	BRAILLE PATTERN DOTS-168
28A2	braillepatterndots268	BRAILLE PATTERN DOTS-268
28A3	braillepatterndots1268	BRAILLE PATTERN DOTS-1268
28A4	braillepatterndots368	BRAILLE PATTERN DOTS-368
28A5	braillepatterndots1368	BRAILLE PATTERN DOTS-1368
28A6	braillepatterndots2368	BRAILLE PATTERN DOTS-2368
28A7	braillepatterndots12368	BRAILLE PATTERN DOTS-12368
28A8	braillepatterndots468	BRAILLE PATTERN DOTS-468
28A9	braillepatterndots1468	BRAILLE PATTERN DOTS-1468
28AA	braillepatterndots2468	BRAILLE PATTERN DOTS-2468
28AB	braillepatterndots12468	BRAILLE PATTERN DOTS-12468
28AC	braillepatterndots3468	BRAILLE PATTERN DOTS-3468
28AD	braillepatterndots13468	BRAILLE PATTERN DOTS-13468
28AE	braillepatterndots23468	BRAILLE PATTERN DOTS-23468
28AF	braillepatterndots123468	BRAILLE PATTERN DOTS-123468
