# Coptic 2C80 - 2CFF
2CD3	copticsmallletteroldcoptichei	COPTIC SMALL LETTER OLD COPTIC HEI
2CD4	copticcapitalletteroldcoptichat	COPTIC CAPITAL LETTER OLD COPTIC HAT
2CD5	copticsmallletteroldcoptichat	COPTIC SMALL LETTER OLD COPTIC HAT
2CD6	copticcapitalletteroldcopticgangia	COPTIC CAPITAL LETTER OLD COPTIC GANGIA
2CD7	copticsmallletteroldcopticgangia	COPTIC SMALL LETTER OLD COPTIC GANGIA
2CD8	copticcapitalletteroldcopticdja	COPTIC CAPITAL LETTER OLD COPTIC DJA
2CD9	copticsmallletteroldcopticdja	COPTIC SMALL LETTER OLD COPTIC DJA
2CDA	copticcapitalletteroldcopticshima	COPTIC CAPITAL LETTER OLD COPTIC SHIMA
2CDB	copticsmallletteroldcopticshima	COPTIC SMALL LETTER OLD COPTIC SHIMA
2CDC	copticcapitalletteroldnubianshima	COPTIC CAPITAL LETTER OLD NUBIAN SHIMA
2CDD	copticsmallletteroldnubianshima	COPTIC SMALL LETTER OLD NUBIAN SHIMA
2CDE	copticcapitalletteroldnubianngi	COPTIC CAPITAL LETTER OLD NUBIAN NGI
2CDF	copticsmallletteroldnubianngi	COPTIC SMALL LETTER OLD NUBIAN NGI
2CE0	copticcapitalletteroldnubiannyi	COPTIC CAPITAL LETTER OLD NUBIAN NYI
2CE1	copticsmallletteroldnubiannyi	COPTIC SMALL LETTER OLD NUBIAN NYI
2CE2	copticcapitalletteroldnubianwau	COPTIC CAPITAL LETTER OLD NUBIAN WAU
2CE3	copticsmallletteroldnubianwau	COPTIC SMALL LETTER OLD NUBIAN WAU
2CE4	copticsymbolkai	COPTIC SYMBOL KAI
2CE5	copticsymbolmiro	COPTIC SYMBOL MI RO
2CE6	copticsymbolpiro	COPTIC SYMBOL PI RO
2CE7	copticsymbolstauros	COPTIC SYMBOL STAUROS
2CE8	copticsymboltauro	COPTIC SYMBOL TAU RO
2CE9	copticsymbolkhiro	COPTIC SYMBOL KHI RO
2CEA	copticsymbolshimasima	COPTIC SYMBOL SHIMA SIMA
2CEB	copticcapitallettercryptogrammicshei	COPTIC CAPITAL LETTER CRYPTOGRAMMIC SHEI
2CEC	copticsmalllettercryptogrammicshei	COPTIC SMALL LETTER CRYPTOGRAMMIC SHEI
2CED	copticcapitallettercryptogrammicgangia	COPTIC CAPITAL LETTER CRYPTOGRAMMIC GANGIA
2CEE	copticsmalllettercryptogrammicgangia	COPTIC SMALL LETTER CRYPTOGRAMMIC GANGIA
2CEF	copticcombiningniabove	COPTIC COMBINING NI ABOVE
2CF0	copticcombiningspiritusasper	COPTIC COMBINING SPIRITUS ASPER
2CF1	copticcombiningspirituslenis	COPTIC COMBINING SPIRITUS LENIS
2CF9	copticoldnubianfullstop	COPTIC OLD NUBIAN FULL STOP
2CFA	copticoldnubiandirectquestionmark	COPTIC OLD NUBIAN DIRECT QUESTION MARK
2CFB	copticoldnubianindirectquestionmark	COPTIC OLD NUBIAN INDIRECT QUESTION MARK
2CFC	copticoldnubianversedivider	COPTIC OLD NUBIAN VERSE DIVIDER
2CFD	copticfractiononehalf	COPTIC FRACTION ONE HALF
2CFE	copticfullstop	COPTIC FULL STOP
2CFF	copticmorphologicaldivider	COPTIC MORPHOLOGICAL DIVIDER
