# CJK Compatibility Ideographs F900 - FAFF
F949	cjkcompatibilityideographf949	CJK COMPATIBILITY IDEOGRAPH-F949
F94A	cjkcompatibilityideographf94a	CJK COMPATIBILITY IDEOGRAPH-F94A
F94B	cjkcompatibilityideographf94b	CJK COMPATIBILITY IDEOGRAPH-F94B
F94C	cjkcompatibilityideographf94c	CJK COMPATIBILITY IDEOGRAPH-F94C
F94D	cjkcompatibilityideographf94d	CJK COMPATIBILITY IDEOGRAPH-F94D
F94E	cjkcompatibilityideographf94e	CJK COMPATIBILITY IDEOGRAPH-F94E
F94F	cjkcompatibilityideographf94f	CJK COMPATIBILITY IDEOGRAPH-F94F
F950	cjkcompatibilityideographf950	CJK COMPATIBILITY IDEOGRAPH-F950
F951	cjkcompatibilityideographf951	CJK COMPATIBILITY IDEOGRAPH-F951
F952	cjkcompatibilityideographf952	CJK COMPATIBILITY IDEOGRAPH-F952
F953	cjkcompatibilityideographf953	CJK COMPATIBILITY IDEOGRAPH-F953
F954	cjkcompatibilityideographf954	CJK COMPATIBILITY IDEOGRAPH-F954
F955	cjkcompatibilityideographf955	CJK COMPATIBILITY IDEOGRAPH-F955
F956	cjkcompatibilityideographf956	CJK COMPATIBILITY IDEOGRAPH-F956
F957	cjkcompatibilityideographf957	CJK COMPATIBILITY IDEOGRAPH-F957
F958	cjkcompatibilityideographf958	CJK COMPATIBILITY IDEOGRAPH-F958
F959	cjkcompatibilityideographf959	CJK COMPATIBILITY IDEOGRAPH-F959
F95A	cjkcompatibilityideographf95a	CJK COMPATIBILITY IDEOGRAPH-F95A
F95B	cjkcompatibilityideographf95b	CJK COMPATIBILITY IDEOGRAPH-F95B
F95C	cjkcompatibilityideographf95c	CJK COMPATIBILITY IDEOGRAPH-F95C
F95D	cjkcompatibilityideographf95d	CJK COMPATIBILITY IDEOGRAPH-F95D
F95E	cjkcompatibilityideographf95e	CJK COMPATIBILITY IDEOGRAPH-F95E
F95F	cjkcompatibilityideographf95f	CJK COMPATIBILITY IDEOGRAPH-F95F
F960	cjkcompatibilityideographf960	CJK COMPATIBILITY IDEOGRAPH-F960
F961	cjkcompatibilityideographf961	CJK COMPATIBILITY IDEOGRAPH-F961
F962	cjkcompatibilityideographf962	CJK COMPATIBILITY IDEOGRAPH-F962
F963	cjkcompatibilityideographf963	CJK COMPATIBILITY IDEOGRAPH-F963
F964	cjkcompatibilityideographf964	CJK COMPATIBILITY IDEOGRAPH-F964
F965	cjkcompatibilityideographf965	CJK COMPATIBILITY IDEOGRAPH-F965
F966	cjkcompatibilityideographf966	CJK COMPATIBILITY IDEOGRAPH-F966
F967	cjkcompatibilityideographf967	CJK COMPATIBILITY IDEOGRAPH-F967
F968	cjkcompatibilityideographf968	CJK COMPATIBILITY IDEOGRAPH-F968
F969	cjkcompatibilityideographf969	CJK COMPATIBILITY IDEOGRAPH-F969
F96A	cjkcompatibilityideographf96a	CJK COMPATIBILITY IDEOGRAPH-F96A
F96B	cjkcompatibilityideographf96b	CJK COMPATIBILITY IDEOGRAPH-F96B
F96C	cjkcompatibilityideographf96c	CJK COMPATIBILITY IDEOGRAPH-F96C
F96D	cjkcompatibilityideographf96d	CJK COMPATIBILITY IDEOGRAPH-F96D
F96E	cjkcompatibilityideographf96e	CJK COMPATIBILITY IDEOGRAPH-F96E
F96F	cjkcompatibilityideographf96f	CJK COMPATIBILITY IDEOGRAPH-F96F
F970	cjkcompatibilityideographf970	CJK COMPATIBILITY IDEOGRAPH-F970
F971	cjkcompatibilityideographf971	CJK COMPATIBILITY IDEOGRAPH-F971
F972	cjkcompatibilityideographf972	CJK COMPATIBILITY IDEOGRAPH-F972
