# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F834	cjkcompatibilityideograph2f834	CJK COMPATIBILITY IDEOGRAPH-2F834
2F835	cjkcompatibilityideograph2f835	CJK COMPATIBILITY IDEOGRAPH-2F835
2F836	cjkcompatibilityideograph2f836	CJK COMPATIBILITY IDEOGRAPH-2F836
2F837	cjkcompatibilityideograph2f837	CJK COMPATIBILITY IDEOGRAPH-2F837
2F838	cjkcompatibilityideograph2f838	CJK COMPATIBILITY IDEOGRAPH-2F838
2F839	cjkcompatibilityideograph2f839	CJK COMPATIBILITY IDEOGRAPH-2F839
2F83A	cjkcompatibilityideograph2f83a	CJK COMPATIBILITY IDEOGRAPH-2F83A
2F83B	cjkcompatibilityideograph2f83b	CJK COMPATIBILITY IDEOGRAPH-2F83B
2F83C	cjkcompatibilityideograph2f83c	CJK COMPATIBILITY IDEOGRAPH-2F83C
2F83D	cjkcompatibilityideograph2f83d	CJK COMPATIBILITY IDEOGRAPH-2F83D
2F83E	cjkcompatibilityideograph2f83e	CJK COMPATIBILITY IDEOGRAPH-2F83E
2F83F	cjkcompatibilityideograph2f83f	CJK COMPATIBILITY IDEOGRAPH-2F83F
2F840	cjkcompatibilityideograph2f840	CJK COMPATIBILITY IDEOGRAPH-2F840
2F841	cjkcompatibilityideograph2f841	CJK COMPATIBILITY IDEOGRAPH-2F841
2F842	cjkcompatibilityideograph2f842	CJK COMPATIBILITY IDEOGRAPH-2F842
2F843	cjkcompatibilityideograph2f843	CJK COMPATIBILITY IDEOGRAPH-2F843
2F844	cjkcompatibilityideograph2f844	CJK COMPATIBILITY IDEOGRAPH-2F844
2F845	cjkcompatibilityideograph2f845	CJK COMPATIBILITY IDEOGRAPH-2F845
2F846	cjkcompatibilityideograph2f846	CJK COMPATIBILITY IDEOGRAPH-2F846
2F847	cjkcompatibilityideograph2f847	CJK COMPATIBILITY IDEOGRAPH-2F847
2F848	cjkcompatibilityideograph2f848	CJK COMPATIBILITY IDEOGRAPH-2F848
2F849	cjkcompatibilityideograph2f849	CJK COMPATIBILITY IDEOGRAPH-2F849
2F84A	cjkcompatibilityideograph2f84a	CJK COMPATIBILITY IDEOGRAPH-2F84A
2F84B	cjkcompatibilityideograph2f84b	CJK COMPATIBILITY IDEOGRAPH-2F84B
2F84C	cjkcompatibilityideograph2f84c	CJK COMPATIBILITY IDEOGRAPH-2F84C
2F84D	cjkcompatibilityideograph2f84d	CJK COMPATIBILITY IDEOGRAPH-2F84D
2F84E	cjkcompatibilityideograph2f84e	CJK COMPATIBILITY IDEOGRAPH-2F84E
2F84F	cjkcompatibilityideograph2f84f	CJK COMPATIBILITY IDEOGRAPH-2F84F
2F850	cjkcompatibilityideograph2f850	CJK COMPATIBILITY IDEOGRAPH-2F850
2F851	cjkcompatibilityideograph2f851	CJK COMPATIBILITY IDEOGRAPH-2F851
2F852	cjkcompatibilityideograph2f852	CJK COMPATIBILITY IDEOGRAPH-2F852
2F853	cjkcompatibilityideograph2f853	CJK COMPATIBILITY IDEOGRAPH-2F853
2F854	cjkcompatibilityideograph2f854	CJK COMPATIBILITY IDEOGRAPH-2F854
2F855	cjkcompatibilityideograph2f855	CJK COMPATIBILITY IDEOGRAPH-2F855
2F856	cjkcompatibilityideograph2f856	CJK COMPATIBILITY IDEOGRAPH-2F856
2F857	cjkcompatibilityideograph2f857	CJK COMPATIBILITY IDEOGRAPH-2F857
2F858	cjkcompatibilityideograph2f858	CJK COMPATIBILITY IDEOGRAPH-2F858
2F859	cjkcompatibilityideograph2f859	CJK COMPATIBILITY IDEOGRAPH-2F859
2F85A	cjkcompatibilityideograph2f85a	CJK COMPATIBILITY IDEOGRAPH-2F85A
2F85B	cjkcompatibilityideograph2f85b	CJK COMPATIBILITY IDEOGRAPH-2F85B
2F85C	cjkcompatibilityideograph2f85c	CJK COMPATIBILITY IDEOGRAPH-2F85C
2F85D	cjkcompatibilityideograph2f85d	CJK COMPATIBILITY IDEOGRAPH-2F85D
2F85E	cjkcompatibilityideograph2f85e	CJK COMPATIBILITY IDEOGRAPH-2F85E
2F85F	cjkcompatibilityideograph2f85f	CJK COMPATIBILITY IDEOGRAPH-2F85F
2F860	cjkcompatibilityideograph2f860	CJK COMPATIBILITY IDEOGRAPH-2F860
2F861	cjkcompatibilityideograph2f861	CJK COMPATIBILITY IDEOGRAPH-2F861
2F862	cjkcompatibilityideograph2f862	CJK COMPATIBILITY IDEOGRAPH-2F862
2F863	cjkcompatibilityideograph2f863	CJK COMPATIBILITY IDEOGRAPH-2F863
2F864	cjkcompatibilityideograph2f864	CJK COMPATIBILITY IDEOGRAPH-2F864
2F865	cjkcompatibilityideograph2f865	CJK COMPATIBILITY IDEOGRAPH-2F865
2F866	cjkcompatibilityideograph2f866	CJK COMPATIBILITY IDEOGRAPH-2F866
2F867	cjkcompatibilityideograph2f867	CJK COMPATIBILITY IDEOGRAPH-2F867
2F868	cjkcompatibilityideograph2f868	CJK COMPATIBILITY IDEOGRAPH-2F868
2F869	cjkcompatibilityideograph2f869	CJK COMPATIBILITY IDEOGRAPH-2F869
2F86A	cjkcompatibilityideograph2f86a	CJK COMPATIBILITY IDEOGRAPH-2F86A
2F86B	cjkcompatibilityideograph2f86b	CJK COMPATIBILITY IDEOGRAPH-2F86B
2F86C	cjkcompatibilityideograph2f86c	CJK COMPATIBILITY IDEOGRAPH-2F86C
2F86D	cjkcompatibilityideograph2f86d	CJK COMPATIBILITY IDEOGRAPH-2F86D
2F86E	cjkcompatibilityideograph2f86e	CJK COMPATIBILITY IDEOGRAPH-2F86E
2F86F	cjkcompatibilityideograph2f86f	CJK COMPATIBILITY IDEOGRAPH-2F86F
2F870	cjkcompatibilityideograph2f870	CJK COMPATIBILITY IDEOGRAPH-2F870
2F871	cjkcompatibilityideograph2f871	CJK COMPATIBILITY IDEOGRAPH-2F871
2F872	cjkcompatibilityideograph2f872	CJK COMPATIBILITY IDEOGRAPH-2F872
2F873	cjkcompatibilityideograph2f873	CJK COMPATIBILITY IDEOGRAPH-2F873
2F874	cjkcompatibilityideograph2f874	CJK COMPATIBILITY IDEOGRAPH-2F874
2F875	cjkcompatibilityideograph2f875	CJK COMPATIBILITY IDEOGRAPH-2F875
2F876	cjkcompatibilityideograph2f876	CJK COMPATIBILITY IDEOGRAPH-2F876
2F877	cjkcompatibilityideograph2f877	CJK COMPATIBILITY IDEOGRAPH-2F877
2F878	cjkcompatibilityideograph2f878	CJK COMPATIBILITY IDEOGRAPH-2F878
2F879	cjkcompatibilityideograph2f879	CJK COMPATIBILITY IDEOGRAPH-2F879
