# Supplemental Mathematical Operators 2A00 - 2AFF
2A58	slopinglargeand	SLOPING LARGE AND
2A59	logicaloroverlappinglogicaland	LOGICAL OR OVERLAPPING LOGICAL AND
2A5A	logicalandwithmiddlestem	LOGICAL AND WITH MIDDLE STEM
2A5B	logicalorwithmiddlestem	LOGICAL OR WITH MIDDLE STEM
2A5C	logicalandwithhorizontaldash	LOGICAL AND WITH HORIZONTAL DASH
2A5D	logicalorwithhorizontaldash	LOGICAL OR WITH HORIZONTAL DASH
2A5E	logicalandwithdoubleoverbar	LOGICAL AND WITH DOUBLE OVERBAR
2A5F	logicalandwithunderbar	LOGICAL AND WITH UNDERBAR
2A60	logicalandwithdoubleunderbar	LOGICAL AND WITH DOUBLE UNDERBAR
2A61	smallveewithunderbar	SMALL VEE WITH UNDERBAR
2A62	logicalorwithdoubleoverbar	LOGICAL OR WITH DOUBLE OVERBAR
2A63	logicalorwithdoubleunderbar	LOGICAL OR WITH DOUBLE UNDERBAR
2A64	znotationdomainantirestriction	Z NOTATION DOMAIN ANTIRESTRICTION
2A65	znotationrangeantirestriction	Z NOTATION RANGE ANTIRESTRICTION
2A66	equalssignwithdotbelow	EQUALS SIGN WITH DOT BELOW
2A67	identicalwithdotabove	IDENTICAL WITH DOT ABOVE
2A68	triplehorizontalbarwithdoubleverticalstroke	TRIPLE HORIZONTAL BAR WITH DOUBLE VERTICAL STROKE
2A69	triplehorizontalbarwithtripleverticalstroke	TRIPLE HORIZONTAL BAR WITH TRIPLE VERTICAL STROKE
2A6A	tildeoperatorwithdotabove	TILDE OPERATOR WITH DOT ABOVE
2A6B	tildeoperatorwithrisingdots	TILDE OPERATOR WITH RISING DOTS
2A6C	similarminussimilar	SIMILAR MINUS SIMILAR
2A6D	congruentwithdotabove	CONGRUENT WITH DOT ABOVE
2A6E	equalswithasterisk	EQUALS WITH ASTERISK
2A6F	almostequaltowithcircumflexaccent	ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT
2A70	approximatelyequalorequalto	APPROXIMATELY EQUAL OR EQUAL TO
2A71	equalssignaboveplussign	EQUALS SIGN ABOVE PLUS SIGN
2A72	plussignaboveequalssign	PLUS SIGN ABOVE EQUALS SIGN
2A73	equalssignabovetildeoperator	EQUALS SIGN ABOVE TILDE OPERATOR
2A74	doublecolonequal	DOUBLE COLON EQUAL
2A75	twoconsecutiveequalssigns	TWO CONSECUTIVE EQUALS SIGNS
2A76	threeconsecutiveequalssigns	THREE CONSECUTIVE EQUALS SIGNS
2A77	equalssignwithtwodotsaboveandtwodotsbelow	EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW
2A78	equivalentwithfourdotsabove	EQUIVALENT WITH FOUR DOTS ABOVE
2A79	lessthanwithcircleinside	LESS-THAN WITH CIRCLE INSIDE
2A7A	greaterthanwithcircleinside	GREATER-THAN WITH CIRCLE INSIDE
2A7B	lessthanwithquestionmarkabove	LESS-THAN WITH QUESTION MARK ABOVE
2A7C	greaterthanwithquestionmarkabove	GREATER-THAN WITH QUESTION MARK ABOVE
2A7D	lessthanorslantedequalto	LESS-THAN OR SLANTED EQUAL TO
2A7E	greaterthanorslantedequalto	GREATER-THAN OR SLANTED EQUAL TO
2A7F	lessthanorslantedequaltowithdotinside	LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
2A80	greaterthanorslantedequaltowithdotinside	GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
2A81	lessthanorslantedequaltowithdotabove	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
2A82	greaterthanorslantedequaltowithdotabove	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
2A83	lessthanorslantedequaltowithdotaboveright	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT
2A84	greaterthanorslantedequaltowithdotaboveleft	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT
2A85	lessthanorapproximate	LESS-THAN OR APPROXIMATE
2A86	greaterthanorapproximate	GREATER-THAN OR APPROXIMATE
2A87	lessthanandsinglelinenotequalto	LESS-THAN AND SINGLE-LINE NOT EQUAL TO
2A88	greaterthanandsinglelinenotequalto	GREATER-THAN AND SINGLE-LINE NOT EQUAL TO
2A89	lessthanandnotapproximate	LESS-THAN AND NOT APPROXIMATE
2A8A	greaterthanandnotapproximate	GREATER-THAN AND NOT APPROXIMATE
2A8B	lessthanabovedoublelineequalabovegreaterthan	LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN
2A8C	greaterthanabovedoublelineequalabovelessthan	GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN
2A8D	lessthanabovesimilarorequal	LESS-THAN ABOVE SIMILAR OR EQUAL
2A8E	greaterthanabovesimilarorequal	GREATER-THAN ABOVE SIMILAR OR EQUAL
2A8F	lessthanabovesimilarabovegreaterthan	LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN
2A90	greaterthanabovesimilarabovelessthan	GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN
2A91	lessthanabovegreaterthanabovedoublelineequal	LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL
2A92	greaterthanabovelessthanabovedoublelineequal	GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL
2A93	lessthanaboveslantedequalabovegreaterthanaboveslantedequal	LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL
2A94	greaterthanaboveslantedequalabovelessthanaboveslantedequal	GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL
2A95	slantedequaltoorlessthan	SLANTED EQUAL TO OR LESS-THAN
2A96	slantedequaltoorgreaterthan	SLANTED EQUAL TO OR GREATER-THAN
2A97	slantedequaltoorlessthanwithdotinside	SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE
2A98	slantedequaltoorgreaterthanwithdotinside	SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE
2A99	doublelineequaltoorlessthan	DOUBLE-LINE EQUAL TO OR LESS-THAN
2A9A	doublelineequaltoorgreaterthan	DOUBLE-LINE EQUAL TO OR GREATER-THAN
2A9B	doublelineslantedequaltoorlessthan	DOUBLE-LINE SLANTED EQUAL TO OR LESS-THAN
2A9C	doublelineslantedequaltoorgreaterthan	DOUBLE-LINE SLANTED EQUAL TO OR GREATER-THAN
2A9D	similarorlessthan	SIMILAR OR LESS-THAN
2A9E	similarorgreaterthan	SIMILAR OR GREATER-THAN
2A9F	similarabovelessthanaboveequalssign	SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN
2AA0	similarabovegreaterthanaboveequalssign	SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN
2AA1	doublenestedlessthan	DOUBLE NESTED LESS-THAN
2AA2	doublenestedgreaterthan	DOUBLE NESTED GREATER-THAN
2AA3	doublenestedlessthanwithunderbar	DOUBLE NESTED LESS-THAN WITH UNDERBAR
2AA4	greaterthanoverlappinglessthan	GREATER-THAN OVERLAPPING LESS-THAN
2AA5	greaterthanbesidelessthan	GREATER-THAN BESIDE LESS-THAN
2AA6	lessthanclosedbycurve	LESS-THAN CLOSED BY CURVE
2AA7	greaterthanclosedbycurve	GREATER-THAN CLOSED BY CURVE
2AA8	lessthanclosedbycurveaboveslantedequal	LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
2AA9	greaterthanclosedbycurveaboveslantedequal	GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
2AAA	smallerthan	SMALLER THAN
2AAB	largerthan	LARGER THAN
2AAC	smallerthanorequalto	SMALLER THAN OR EQUAL TO
2AAD	largerthanorequalto	LARGER THAN OR EQUAL TO
2AAE	equalssignwithbumpyabove	EQUALS SIGN WITH BUMPY ABOVE
2AAF	precedesabovesinglelineequalssign	PRECEDES ABOVE SINGLE-LINE EQUALS SIGN
2AB0	succeedsabovesinglelineequalssign	SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN
2AB1	precedesabovesinglelinenotequalto	PRECEDES ABOVE SINGLE-LINE NOT EQUAL TO
2AB2	succeedsabovesinglelinenotequalto	SUCCEEDS ABOVE SINGLE-LINE NOT EQUAL TO
2AB3	precedesaboveequalssign	PRECEDES ABOVE EQUALS SIGN
2AB4	succeedsaboveequalssign	SUCCEEDS ABOVE EQUALS SIGN
2AB5	precedesabovenotequalto	PRECEDES ABOVE NOT EQUAL TO
2AB6	succeedsabovenotequalto	SUCCEEDS ABOVE NOT EQUAL TO
2AB7	precedesabovealmostequalto	PRECEDES ABOVE ALMOST EQUAL TO
2AB8	succeedsabovealmostequalto	SUCCEEDS ABOVE ALMOST EQUAL TO
2AB9	precedesabovenotalmostequalto	PRECEDES ABOVE NOT ALMOST EQUAL TO
2ABA	succeedsabovenotalmostequalto	SUCCEEDS ABOVE NOT ALMOST EQUAL TO
2ABB	doubleprecedes	DOUBLE PRECEDES
2ABC	doublesucceeds	DOUBLE SUCCEEDS
2ABD	subsetwithdot	SUBSET WITH DOT
2ABE	supersetwithdot	SUPERSET WITH DOT
2ABF	subsetwithplussignbelow	SUBSET WITH PLUS SIGN BELOW
2AC0	supersetwithplussignbelow	SUPERSET WITH PLUS SIGN BELOW
2AC1	subsetwithmultiplicationsignbelow	SUBSET WITH MULTIPLICATION SIGN BELOW
2AC2	supersetwithmultiplicationsignbelow	SUPERSET WITH MULTIPLICATION SIGN BELOW
2AC3	subsetoforequaltowithdotabove	SUBSET OF OR EQUAL TO WITH DOT ABOVE
2AC4	supersetoforequaltowithdotabove	SUPERSET OF OR EQUAL TO WITH DOT ABOVE
2AC5	subsetofaboveequalssign	SUBSET OF ABOVE EQUALS SIGN
2AC6	supersetofaboveequalssign	SUPERSET OF ABOVE EQUALS SIGN
2AC7	subsetofabovetildeoperator	SUBSET OF ABOVE TILDE OPERATOR
2AC8	supersetofabovetildeoperator	SUPERSET OF ABOVE TILDE OPERATOR
2AC9	subsetofabovealmostequalto	SUBSET OF ABOVE ALMOST EQUAL TO
2ACA	supersetofabovealmostequalto	SUPERSET OF ABOVE ALMOST EQUAL TO
2ACB	subsetofabovenotequalto	SUBSET OF ABOVE NOT EQUAL TO
2ACC	supersetofabovenotequalto	SUPERSET OF ABOVE NOT EQUAL TO
2ACD	squareleftopenboxoperator	SQUARE LEFT OPEN BOX OPERATOR
2ACE	squarerightopenboxoperator	SQUARE RIGHT OPEN BOX OPERATOR
2ACF	closedsubset	CLOSED SUBSET
2AD0	closedsuperset	CLOSED SUPERSET
2AD1	closedsubsetorequalto	CLOSED SUBSET OR EQUAL TO
2AD2	closedsupersetorequalto	CLOSED SUPERSET OR EQUAL TO
2AD3	subsetabovesuperset	SUBSET ABOVE SUPERSET
2AD4	supersetabovesubset	SUPERSET ABOVE SUBSET
2AD5	subsetabovesubset	SUBSET ABOVE SUBSET
2AD6	supersetabovesuperset	SUPERSET ABOVE SUPERSET
2AD7	supersetbesidesubset	SUPERSET BESIDE SUBSET
2AD8	supersetbesideandjoinedbydashwithsubset	SUPERSET BESIDE AND JOINED BY DASH WITH SUBSET
2AD9	elementofopeningdownwards	ELEMENT OF OPENING DOWNWARDS
2ADA	pitchforkwithteetop	PITCHFORK WITH TEE TOP
2ADB	transversalintersection	TRANSVERSAL INTERSECTION
2ADC	forking	FORKING
2ADD	nonforking	NONFORKING
2ADE	shortlefttack	SHORT LEFT TACK
2ADF	shortdowntack	SHORT DOWN TACK
2AE0	shortuptack	SHORT UP TACK
2AE1	perpendicularwiths	PERPENDICULAR WITH S
2AE2	verticalbartriplerightturnstile	VERTICAL BAR TRIPLE RIGHT TURNSTILE
2AE3	doubleverticalbarleftturnstile	DOUBLE VERTICAL BAR LEFT TURNSTILE
2AE4	verticalbardoubleleftturnstile	VERTICAL BAR DOUBLE LEFT TURNSTILE
2AE5	doubleverticalbardoubleleftturnstile	DOUBLE VERTICAL BAR DOUBLE LEFT TURNSTILE
2AE6	longdashfromleftmemberofdoublevertical	LONG DASH FROM LEFT MEMBER OF DOUBLE VERTICAL
2AE7	shortdowntackwithoverbar	SHORT DOWN TACK WITH OVERBAR
2AE8	shortuptackwithunderbar	SHORT UP TACK WITH UNDERBAR
2AE9	shortuptackaboveshortdowntack	SHORT UP TACK ABOVE SHORT DOWN TACK
2AEA	doubledowntack	DOUBLE DOWN TACK
2AEB	doubleuptack	DOUBLE UP TACK
2AEC	doublestrokenotsign	DOUBLE STROKE NOT SIGN
2AED	reverseddoublestrokenotsign	REVERSED DOUBLE STROKE NOT SIGN
2AEE	doesnotdividewithreversednegationslash	DOES NOT DIVIDE WITH REVERSED NEGATION SLASH
2AEF	verticallinewithcircleabove	VERTICAL LINE WITH CIRCLE ABOVE
2AF0	verticallinewithcirclebelow	VERTICAL LINE WITH CIRCLE BELOW
2AF1	downtackwithcirclebelow	DOWN TACK WITH CIRCLE BELOW
2AF2	parallelwithhorizontalstroke	PARALLEL WITH HORIZONTAL STROKE
2AF3	parallelwithtildeoperator	PARALLEL WITH TILDE OPERATOR
2AF4	tripleverticalbarbinaryrelation	TRIPLE VERTICAL BAR BINARY RELATION
2AF5	tripleverticalbarwithhorizontalstroke	TRIPLE VERTICAL BAR WITH HORIZONTAL STROKE
2AF6	triplecolonoperator	TRIPLE COLON OPERATOR
2AF7	triplenestedlessthan	TRIPLE NESTED LESS-THAN
2AF8	triplenestedgreaterthan	TRIPLE NESTED GREATER-THAN
2AF9	doublelineslantedlessthanorequalto	DOUBLE-LINE SLANTED LESS-THAN OR EQUAL TO
2AFA	doublelineslantedgreaterthanorequalto	DOUBLE-LINE SLANTED GREATER-THAN OR EQUAL TO
2AFB	triplesolidusbinaryrelation	TRIPLE SOLIDUS BINARY RELATION
2AFC	largetripleverticalbaroperator	LARGE TRIPLE VERTICAL BAR OPERATOR
2AFD	doublesolidusoperator	DOUBLE SOLIDUS OPERATOR
2AFE	whiteverticalbar	WHITE VERTICAL BAR
2AFF	narywhiteverticalbar	N-ARY WHITE VERTICAL BAR
