# Dingbats 2700 - 27BF
2768	dngb-parenthesisleftmediumornament	MEDIUM LEFT PARENTHESIS ORNAMENT
2769	dngb-parenthesisrightmediumornament	MEDIUM RIGHT PARENTHESIS ORNAMENT
276A	dngb-parenthesisleftflattenedmediumornament	MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
276B	dngb-parenthesisrightflattenedmediumornament	MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
276C	dngb-bracketleftpointedanglemediumornament	MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
276D	dngb-bracketrightpointedanglemediumornament	MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
276E	dngb-quotationleftpointedangleheavyornament	HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
276F	dngb-quotationrightpointedangleheavyornament	HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
2770	dngb-bracketleftpointedangleheavyornament	HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
2771	dngb-bracketrightpointedangleheavyornament	HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
2772	dngb-bracketshellleftlightornament	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
2773	dngb-bracketshellrightlightornament	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
2774	dngb-curlybracketleftmediumornament	MEDIUM LEFT CURLY BRACKET ORNAMENT
2775	dngb-curlybracketrightmediumornament	MEDIUM RIGHT CURLY BRACKET ORNAMENT
2776	dngb-onenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT ONE
2777	dngb-twonegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT TWO
2778	dngb-threenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT THREE
2779	dngb-fournegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT FOUR
277A	dngb-fivenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT FIVE
277B	dngb-sixnegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT SIX
277C	dngb-sevennegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
277D	dngb-eightnegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
277E	dngb-ninenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT NINE
277F	dngb-tennegativecircled	DINGBAT NEGATIVE CIRCLED NUMBER TEN
2780	dngb-onesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT ONE
2781	dngb-twosanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT TWO
2782	dngb-threesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT THREE
2783	dngb-foursanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
2784	dngb-fivesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
2785	dngb-sixsanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT SIX
2786	dngb-sevensanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
2787	dngb-eightsanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
2788	dngb-ninesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT NINE
2789	dngb-tensanscircled	DINGBAT CIRCLED SANS-SERIF NUMBER TEN
278A	dngb-onesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
278B	dngb-twosansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
278C	dngb-threesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
278D	dngb-foursansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
278E	dngb-fivesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
278F	dngb-sixsansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
2790	dngb-sevensansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
2791	dngb-eightsansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
2792	dngb-ninesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
2793	dngb-tensansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
2794	dngb-arrowrightwideheavy	HEAVY WIDE-HEADED RIGHTWARDS ARROW
2798	dngb-arrowheavySE	HEAVY SOUTH EAST ARROW
2799	dngb-arrowrightheavy	HEAVY RIGHTWARDS ARROW
279A	dngb-arrowheavyNE	HEAVY NORTH EAST ARROW
279B	dngb-arrowrightpointed	DRAFTING POINT RIGHTWARDS ARROW
279C	dngb-arrowrightroundheavy	HEAVY ROUND-TIPPED RIGHTWARDS ARROW
279D	dngb-arrowrighttriangle	TRIANGLE-HEADED RIGHTWARDS ARROW
279E	dngb-arrowrighttriangleheavy	HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
279F	dngb-arrowrighttriangledashed	DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A0	dngb-arrowrighttriangledashedheavy	HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A1	dngb-arrowrightblack	BLACK RIGHTWARDS ARROW
27A2	dngb-arrowheadrightthreeDtoplight	THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
27A3	dngb-arrowheadrightthreeDbottomlight	THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
27A4	dngb-arrowheadrightblack	BLACK RIGHTWARDS ARROWHEAD
27A5	dngb-arrowrightcurvedownblackheavy	HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
27A6	dngb-arrowrightcurveupblackheavy	HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
27A7	dngb-arrowrightsquatblack	SQUAT BLACK RIGHTWARDS ARROW
27A8	dngb-arrowrightpointedblackheavy	HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
27A9	dngb-arrowrightrightshadedwhite	RIGHT-SHADED WHITE RIGHTWARDS ARROW
27AA	dngb-arrowrightleftshadedwhite	LEFT-SHADED WHITE RIGHTWARDS ARROW
27AB	dngb-arrowrightbacktiltedshadowedwhite	BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AC	dngb-arrowrightfronttiltedshadowedwhite	FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AD	dngb-arrowshadowrightlowerwhiteheavy	HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AE	dngb-arrowshadowrightupperwhiteheavy	HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AF	dngb-arrowshadowrightnotchedlowerwhite	NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B1	dngb-arrowshadowrightnotchedupperwhite	NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B2	dngb-arrowrightcircledwhiteheavy	CIRCLED HEAVY WHITE RIGHTWARDS ARROW
27B3	dngb-arrowrightfeatheredwhite	WHITE-FEATHERED RIGHTWARDS ARROW
27B4	dngb-arrowfeatheredblackSE	BLACK-FEATHERED SOUTH EAST ARROW
27B5	dngb-arrowrightfeatheredblack	BLACK-FEATHERED RIGHTWARDS ARROW
27B6	dngb-arrowfeatheredblackNE	BLACK-FEATHERED NORTH EAST ARROW
27B7	dngb-arrowfeatheredblackheavySE	HEAVY BLACK-FEATHERED SOUTH EAST ARROW
27B8	dngb-arrowrightfeatheredblackheavy	HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
27B9	dngb-arrowfeatheredblackheavyNE	HEAVY BLACK-FEATHERED NORTH EAST ARROW
27BA	dngb-arrowteardropright	TEARDROP-BARBED RIGHTWARDS ARROW
27BB	dngb-arrowteardroprightheavy	HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
27BC	dngb-arrowrightwedge	WEDGE-TAILED RIGHTWARDS ARROW
27BD	dngb-arrowrightwedgeheavy	HEAVY WEDGE-TAILED RIGHTWARDS ARROW
27BE	dngb-arrowrightoutlinedopen	OPEN-OUTLINED RIGHTWARDS ARROW
