# Hangul Syllables AC00 - D7AF
AC61	hangulsyllablegyaelt	HANGUL SYLLABLE GYAELT
AC62	hangulsyllablegyaelp	HANGUL SYLLABLE GYAELP
AC63	hangulsyllablegyaelh	HANGUL SYLLABLE GYAELH
AC64	hangulsyllablegyaem	HANGUL SYLLABLE GYAEM
AC65	hangulsyllablegyaeb	HANGUL SYLLABLE GYAEB
AC66	hangulsyllablegyaebs	HANGUL SYLLABLE GYAEBS
AC67	hangulsyllablegyaes	HANGUL SYLLABLE GYAES
AC68	hangulsyllablegyaess	HANGUL SYLLABLE GYAESS
AC69	hangulsyllablegyaeng	HANGUL SYLLABLE GYAENG
AC6A	hangulsyllablegyaej	HANGUL SYLLABLE GYAEJ
AC6B	hangulsyllablegyaec	HANGUL SYLLABLE GYAEC
AC6C	hangulsyllablegyaek	HANGUL SYLLABLE GYAEK
AC6D	hangulsyllablegyaet	HANGUL SYLLABLE GYAET
AC6E	hangulsyllablegyaep	HANGUL SYLLABLE GYAEP
AC6F	hangulsyllablegyaeh	HANGUL SYLLABLE GYAEH
AC70	hangulsyllablegeo	HANGUL SYLLABLE GEO
AC71	hangulsyllablegeog	HANGUL SYLLABLE GEOG
AC72	hangulsyllablegeogg	HANGUL SYLLABLE GEOGG
AC73	hangulsyllablegeogs	HANGUL SYLLABLE GEOGS
AC74	hangulsyllablegeon	HANGUL SYLLABLE GEON
AC75	hangulsyllablegeonj	HANGUL SYLLABLE GEONJ
AC76	hangulsyllablegeonh	HANGUL SYLLABLE GEONH
AC77	hangulsyllablegeod	HANGUL SYLLABLE GEOD
AC78	hangulsyllablegeol	HANGUL SYLLABLE GEOL
AC79	hangulsyllablegeolg	HANGUL SYLLABLE GEOLG
AC7A	hangulsyllablegeolm	HANGUL SYLLABLE GEOLM
AC7B	hangulsyllablegeolb	HANGUL SYLLABLE GEOLB
AC7C	hangulsyllablegeols	HANGUL SYLLABLE GEOLS
AC7D	hangulsyllablegeolt	HANGUL SYLLABLE GEOLT
AC7E	hangulsyllablegeolp	HANGUL SYLLABLE GEOLP
AC7F	hangulsyllablegeolh	HANGUL SYLLABLE GEOLH
AC80	hangulsyllablegeom	HANGUL SYLLABLE GEOM
AC81	hangulsyllablegeob	HANGUL SYLLABLE GEOB
AC82	hangulsyllablegeobs	HANGUL SYLLABLE GEOBS
AC83	hangulsyllablegeos	HANGUL SYLLABLE GEOS
AC84	hangulsyllablegeoss	HANGUL SYLLABLE GEOSS
AC85	hangulsyllablegeong	HANGUL SYLLABLE GEONG
AC86	hangulsyllablegeoj	HANGUL SYLLABLE GEOJ
AC87	hangulsyllablegeoc	HANGUL SYLLABLE GEOC
AC88	hangulsyllablegeok	HANGUL SYLLABLE GEOK
AC89	hangulsyllablegeot	HANGUL SYLLABLE GEOT
AC8A	hangulsyllablegeop	HANGUL SYLLABLE GEOP
AC8B	hangulsyllablegeoh	HANGUL SYLLABLE GEOH
AC8C	hangulsyllablege	HANGUL SYLLABLE GE
AC8D	hangulsyllablegeg	HANGUL SYLLABLE GEG
AC8E	hangulsyllablegegg	HANGUL SYLLABLE GEGG
AC8F	hangulsyllablegegs	HANGUL SYLLABLE GEGS
AC90	hangulsyllablegen	HANGUL SYLLABLE GEN
AC91	hangulsyllablegenj	HANGUL SYLLABLE GENJ
AC92	hangulsyllablegenh	HANGUL SYLLABLE GENH
AC93	hangulsyllableged	HANGUL SYLLABLE GED
AC94	hangulsyllablegel	HANGUL SYLLABLE GEL
AC95	hangulsyllablegelg	HANGUL SYLLABLE GELG
AC96	hangulsyllablegelm	HANGUL SYLLABLE GELM
AC97	hangulsyllablegelb	HANGUL SYLLABLE GELB
AC98	hangulsyllablegels	HANGUL SYLLABLE GELS
AC99	hangulsyllablegelt	HANGUL SYLLABLE GELT
AC9A	hangulsyllablegelp	HANGUL SYLLABLE GELP
AC9B	hangulsyllablegelh	HANGUL SYLLABLE GELH
AC9C	hangulsyllablegem	HANGUL SYLLABLE GEM
AC9D	hangulsyllablegeb	HANGUL SYLLABLE GEB
AC9E	hangulsyllablegebs	HANGUL SYLLABLE GEBS
AC9F	hangulsyllableges	HANGUL SYLLABLE GES
ACA0	hangulsyllablegess	HANGUL SYLLABLE GESS
ACA1	hangulsyllablegeng	HANGUL SYLLABLE GENG
ACA2	hangulsyllablegej	HANGUL SYLLABLE GEJ
ACA3	hangulsyllablegec	HANGUL SYLLABLE GEC
ACA4	hangulsyllablegek	HANGUL SYLLABLE GEK
ACA5	hangulsyllableget	HANGUL SYLLABLE GET
ACA6	hangulsyllablegep	HANGUL SYLLABLE GEP
ACA7	hangulsyllablegeh	HANGUL SYLLABLE GEH
ACA8	hangulsyllablegyeo	HANGUL SYLLABLE GYEO
ACA9	hangulsyllablegyeog	HANGUL SYLLABLE GYEOG
ACAA	hangulsyllablegyeogg	HANGUL SYLLABLE GYEOGG
ACAB	hangulsyllablegyeogs	HANGUL SYLLABLE GYEOGS
ACAC	hangulsyllablegyeon	HANGUL SYLLABLE GYEON
ACAD	hangulsyllablegyeonj	HANGUL SYLLABLE GYEONJ
ACAE	hangulsyllablegyeonh	HANGUL SYLLABLE GYEONH
ACAF	hangulsyllablegyeod	HANGUL SYLLABLE GYEOD
ACB0	hangulsyllablegyeol	HANGUL SYLLABLE GYEOL
ACB1	hangulsyllablegyeolg	HANGUL SYLLABLE GYEOLG
ACB2	hangulsyllablegyeolm	HANGUL SYLLABLE GYEOLM
ACB3	hangulsyllablegyeolb	HANGUL SYLLABLE GYEOLB
ACB4	hangulsyllablegyeols	HANGUL SYLLABLE GYEOLS
ACB5	hangulsyllablegyeolt	HANGUL SYLLABLE GYEOLT
