# Musical Symbols 1D100 - 1D1FF
1D14C	musicalsymboltrianglenoteheadrightwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT WHITE
1D14D	musicalsymboltrianglenoteheadrightblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT BLACK
1D14E	musicalsymboltrianglenoteheaddownwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN WHITE
1D14F	musicalsymboltrianglenoteheaddownblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN BLACK
1D150	musicalsymboltrianglenoteheaduprightwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT WHITE
1D151	musicalsymboltrianglenoteheaduprightblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT BLACK
1D152	musicalsymbolmoonnoteheadwhite	MUSICAL SYMBOL MOON NOTEHEAD WHITE
1D153	musicalsymbolmoonnoteheadblack	MUSICAL SYMBOL MOON NOTEHEAD BLACK
1D154	musicalsymboltriangleroundnoteheaddownwhite	MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN WHITE
1D155	musicalsymboltriangleroundnoteheaddownblack	MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN BLACK
1D156	musicalsymbolparenthesisnotehead	MUSICAL SYMBOL PARENTHESIS NOTEHEAD
1D157	musicalsymbolvoidnotehead	MUSICAL SYMBOL VOID NOTEHEAD
1D158	musicalsymbolnoteheadblack	MUSICAL SYMBOL NOTEHEAD BLACK
1D159	musicalsymbolnullnotehead	MUSICAL SYMBOL NULL NOTEHEAD
1D15A	musicalsymbolclusternoteheadwhite	MUSICAL SYMBOL CLUSTER NOTEHEAD WHITE
1D15B	musicalsymbolclusternoteheadblack	MUSICAL SYMBOL CLUSTER NOTEHEAD BLACK
1D15C	musicalsymbolbreve	MUSICAL SYMBOL BREVE
1D15D	musicalsymbolwholenote	MUSICAL SYMBOL WHOLE NOTE
1D15E	musicalsymbolhalfnote	MUSICAL SYMBOL HALF NOTE
