# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A74B	cjkunifiedideograph2a74b	CJK UNIFIED IDEOGRAPH-2A74B
2A74C	cjkunifiedideograph2a74c	CJK UNIFIED IDEOGRAPH-2A74C
2A74D	cjkunifiedideograph2a74d	CJK UNIFIED IDEOGRAPH-2A74D
2A74E	cjkunifiedideograph2a74e	CJK UNIFIED IDEOGRAPH-2A74E
2A74F	cjkunifiedideograph2a74f	CJK UNIFIED IDEOGRAPH-2A74F
2A750	cjkunifiedideograph2a750	CJK UNIFIED IDEOGRAPH-2A750
2A751	cjkunifiedideograph2a751	CJK UNIFIED IDEOGRAPH-2A751
2A752	cjkunifiedideograph2a752	CJK UNIFIED IDEOGRAPH-2A752
2A753	cjkunifiedideograph2a753	CJK UNIFIED IDEOGRAPH-2A753
2A754	cjkunifiedideograph2a754	CJK UNIFIED IDEOGRAPH-2A754
2A755	cjkunifiedideograph2a755	CJK UNIFIED IDEOGRAPH-2A755
2A756	cjkunifiedideograph2a756	CJK UNIFIED IDEOGRAPH-2A756
2A757	cjkunifiedideograph2a757	CJK UNIFIED IDEOGRAPH-2A757
2A758	cjkunifiedideograph2a758	CJK UNIFIED IDEOGRAPH-2A758
2A759	cjkunifiedideograph2a759	CJK UNIFIED IDEOGRAPH-2A759
2A75A	cjkunifiedideograph2a75a	CJK UNIFIED IDEOGRAPH-2A75A
2A75B	cjkunifiedideograph2a75b	CJK UNIFIED IDEOGRAPH-2A75B
2A75C	cjkunifiedideograph2a75c	CJK UNIFIED IDEOGRAPH-2A75C
2A75D	cjkunifiedideograph2a75d	CJK UNIFIED IDEOGRAPH-2A75D
2A75E	cjkunifiedideograph2a75e	CJK UNIFIED IDEOGRAPH-2A75E
2A75F	cjkunifiedideograph2a75f	CJK UNIFIED IDEOGRAPH-2A75F
2A760	cjkunifiedideograph2a760	CJK UNIFIED IDEOGRAPH-2A760
2A761	cjkunifiedideograph2a761	CJK UNIFIED IDEOGRAPH-2A761
2A762	cjkunifiedideograph2a762	CJK UNIFIED IDEOGRAPH-2A762
2A763	cjkunifiedideograph2a763	CJK UNIFIED IDEOGRAPH-2A763
2A764	cjkunifiedideograph2a764	CJK UNIFIED IDEOGRAPH-2A764
2A765	cjkunifiedideograph2a765	CJK UNIFIED IDEOGRAPH-2A765
2A766	cjkunifiedideograph2a766	CJK UNIFIED IDEOGRAPH-2A766
2A767	cjkunifiedideograph2a767	CJK UNIFIED IDEOGRAPH-2A767
2A768	cjkunifiedideograph2a768	CJK UNIFIED IDEOGRAPH-2A768
2A769	cjkunifiedideograph2a769	CJK UNIFIED IDEOGRAPH-2A769
2A76A	cjkunifiedideograph2a76a	CJK UNIFIED IDEOGRAPH-2A76A
2A76B	cjkunifiedideograph2a76b	CJK UNIFIED IDEOGRAPH-2A76B
2A76C	cjkunifiedideograph2a76c	CJK UNIFIED IDEOGRAPH-2A76C
2A76D	cjkunifiedideograph2a76d	CJK UNIFIED IDEOGRAPH-2A76D
2A76E	cjkunifiedideograph2a76e	CJK UNIFIED IDEOGRAPH-2A76E
2A76F	cjkunifiedideograph2a76f	CJK UNIFIED IDEOGRAPH-2A76F
2A770	cjkunifiedideograph2a770	CJK UNIFIED IDEOGRAPH-2A770
2A771	cjkunifiedideograph2a771	CJK UNIFIED IDEOGRAPH-2A771
2A772	cjkunifiedideograph2a772	CJK UNIFIED IDEOGRAPH-2A772
2A773	cjkunifiedideograph2a773	CJK UNIFIED IDEOGRAPH-2A773
2A774	cjkunifiedideograph2a774	CJK UNIFIED IDEOGRAPH-2A774
2A775	cjkunifiedideograph2a775	CJK UNIFIED IDEOGRAPH-2A775
2A776	cjkunifiedideograph2a776	CJK UNIFIED IDEOGRAPH-2A776
2A777	cjkunifiedideograph2a777	CJK UNIFIED IDEOGRAPH-2A777
2A778	cjkunifiedideograph2a778	CJK UNIFIED IDEOGRAPH-2A778
2A779	cjkunifiedideograph2a779	CJK UNIFIED IDEOGRAPH-2A779
2A77A	cjkunifiedideograph2a77a	CJK UNIFIED IDEOGRAPH-2A77A
2A77B	cjkunifiedideograph2a77b	CJK UNIFIED IDEOGRAPH-2A77B
2A77C	cjkunifiedideograph2a77c	CJK UNIFIED IDEOGRAPH-2A77C
2A77D	cjkunifiedideograph2a77d	CJK UNIFIED IDEOGRAPH-2A77D
2A77E	cjkunifiedideograph2a77e	CJK UNIFIED IDEOGRAPH-2A77E
2A77F	cjkunifiedideograph2a77f	CJK UNIFIED IDEOGRAPH-2A77F
2A780	cjkunifiedideograph2a780	CJK UNIFIED IDEOGRAPH-2A780
2A781	cjkunifiedideograph2a781	CJK UNIFIED IDEOGRAPH-2A781
2A782	cjkunifiedideograph2a782	CJK UNIFIED IDEOGRAPH-2A782
2A783	cjkunifiedideograph2a783	CJK UNIFIED IDEOGRAPH-2A783
2A784	cjkunifiedideograph2a784	CJK UNIFIED IDEOGRAPH-2A784
2A785	cjkunifiedideograph2a785	CJK UNIFIED IDEOGRAPH-2A785
2A786	cjkunifiedideograph2a786	CJK UNIFIED IDEOGRAPH-2A786
2A787	cjkunifiedideograph2a787	CJK UNIFIED IDEOGRAPH-2A787
2A788	cjkunifiedideograph2a788	CJK UNIFIED IDEOGRAPH-2A788
2A789	cjkunifiedideograph2a789	CJK UNIFIED IDEOGRAPH-2A789
2A78A	cjkunifiedideograph2a78a	CJK UNIFIED IDEOGRAPH-2A78A
2A78B	cjkunifiedideograph2a78b	CJK UNIFIED IDEOGRAPH-2A78B
2A78C	cjkunifiedideograph2a78c	CJK UNIFIED IDEOGRAPH-2A78C
2A78D	cjkunifiedideograph2a78d	CJK UNIFIED IDEOGRAPH-2A78D
2A78E	cjkunifiedideograph2a78e	CJK UNIFIED IDEOGRAPH-2A78E
2A78F	cjkunifiedideograph2a78f	CJK UNIFIED IDEOGRAPH-2A78F
2A790	cjkunifiedideograph2a790	CJK UNIFIED IDEOGRAPH-2A790
2A791	cjkunifiedideograph2a791	CJK UNIFIED IDEOGRAPH-2A791
2A792	cjkunifiedideograph2a792	CJK UNIFIED IDEOGRAPH-2A792
2A793	cjkunifiedideograph2a793	CJK UNIFIED IDEOGRAPH-2A793
2A794	cjkunifiedideograph2a794	CJK UNIFIED IDEOGRAPH-2A794
2A795	cjkunifiedideograph2a795	CJK UNIFIED IDEOGRAPH-2A795
2A796	cjkunifiedideograph2a796	CJK UNIFIED IDEOGRAPH-2A796
2A797	cjkunifiedideograph2a797	CJK UNIFIED IDEOGRAPH-2A797
2A798	cjkunifiedideograph2a798	CJK UNIFIED IDEOGRAPH-2A798
2A799	cjkunifiedideograph2a799	CJK UNIFIED IDEOGRAPH-2A799
2A79A	cjkunifiedideograph2a79a	CJK UNIFIED IDEOGRAPH-2A79A
2A79B	cjkunifiedideograph2a79b	CJK UNIFIED IDEOGRAPH-2A79B
2A79C	cjkunifiedideograph2a79c	CJK UNIFIED IDEOGRAPH-2A79C
2A79D	cjkunifiedideograph2a79d	CJK UNIFIED IDEOGRAPH-2A79D
2A79E	cjkunifiedideograph2a79e	CJK UNIFIED IDEOGRAPH-2A79E
2A79F	cjkunifiedideograph2a79f	CJK UNIFIED IDEOGRAPH-2A79F
2A7A0	cjkunifiedideograph2a7a0	CJK UNIFIED IDEOGRAPH-2A7A0
2A7A1	cjkunifiedideograph2a7a1	CJK UNIFIED IDEOGRAPH-2A7A1
2A7A2	cjkunifiedideograph2a7a2	CJK UNIFIED IDEOGRAPH-2A7A2
2A7A3	cjkunifiedideograph2a7a3	CJK UNIFIED IDEOGRAPH-2A7A3
2A7A4	cjkunifiedideograph2a7a4	CJK UNIFIED IDEOGRAPH-2A7A4
2A7A5	cjkunifiedideograph2a7a5	CJK UNIFIED IDEOGRAPH-2A7A5
2A7A6	cjkunifiedideograph2a7a6	CJK UNIFIED IDEOGRAPH-2A7A6
2A7A7	cjkunifiedideograph2a7a7	CJK UNIFIED IDEOGRAPH-2A7A7
2A7A8	cjkunifiedideograph2a7a8	CJK UNIFIED IDEOGRAPH-2A7A8
2A7A9	cjkunifiedideograph2a7a9	CJK UNIFIED IDEOGRAPH-2A7A9
2A7AA	cjkunifiedideograph2a7aa	CJK UNIFIED IDEOGRAPH-2A7AA
2A7AB	cjkunifiedideograph2a7ab	CJK UNIFIED IDEOGRAPH-2A7AB
2A7AC	cjkunifiedideograph2a7ac	CJK UNIFIED IDEOGRAPH-2A7AC
2A7AD	cjkunifiedideograph2a7ad	CJK UNIFIED IDEOGRAPH-2A7AD
2A7AE	cjkunifiedideograph2a7ae	CJK UNIFIED IDEOGRAPH-2A7AE
2A7AF	cjkunifiedideograph2a7af	CJK UNIFIED IDEOGRAPH-2A7AF
2A7B0	cjkunifiedideograph2a7b0	CJK UNIFIED IDEOGRAPH-2A7B0
2A7B1	cjkunifiedideograph2a7b1	CJK UNIFIED IDEOGRAPH-2A7B1
2A7B2	cjkunifiedideograph2a7b2	CJK UNIFIED IDEOGRAPH-2A7B2
2A7B3	cjkunifiedideograph2a7b3	CJK UNIFIED IDEOGRAPH-2A7B3
2A7B4	cjkunifiedideograph2a7b4	CJK UNIFIED IDEOGRAPH-2A7B4
2A7B5	cjkunifiedideograph2a7b5	CJK UNIFIED IDEOGRAPH-2A7B5
2A7B6	cjkunifiedideograph2a7b6	CJK UNIFIED IDEOGRAPH-2A7B6
2A7B7	cjkunifiedideograph2a7b7	CJK UNIFIED IDEOGRAPH-2A7B7
2A7B8	cjkunifiedideograph2a7b8	CJK UNIFIED IDEOGRAPH-2A7B8
2A7B9	cjkunifiedideograph2a7b9	CJK UNIFIED IDEOGRAPH-2A7B9
2A7BA	cjkunifiedideograph2a7ba	CJK UNIFIED IDEOGRAPH-2A7BA
2A7BB	cjkunifiedideograph2a7bb	CJK UNIFIED IDEOGRAPH-2A7BB
2A7BC	cjkunifiedideograph2a7bc	CJK UNIFIED IDEOGRAPH-2A7BC
2A7BD	cjkunifiedideograph2a7bd	CJK UNIFIED IDEOGRAPH-2A7BD
2A7BE	cjkunifiedideograph2a7be	CJK UNIFIED IDEOGRAPH-2A7BE
2A7BF	cjkunifiedideograph2a7bf	CJK UNIFIED IDEOGRAPH-2A7BF
2A7C0	cjkunifiedideograph2a7c0	CJK UNIFIED IDEOGRAPH-2A7C0
2A7C1	cjkunifiedideograph2a7c1	CJK UNIFIED IDEOGRAPH-2A7C1
2A7C2	cjkunifiedideograph2a7c2	CJK UNIFIED IDEOGRAPH-2A7C2
