# Cuneiform 12000 - 123FF
12052	cuneiformsignbulugoverbulug	CUNEIFORM SIGN BULUG OVER BULUG
12053	cuneiformsignbur	CUNEIFORM SIGN BUR
12054	cuneiformsignbur2	CUNEIFORM SIGN BUR2
12055	cuneiformsignda	CUNEIFORM SIGN DA
12056	cuneiformsigndag	CUNEIFORM SIGN DAG
12057	cuneiformsigndagkisim5timesaplusmash	CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH
12058	cuneiformsigndagkisim5timesamar	CUNEIFORM SIGN DAG KISIM5 TIMES AMAR
12059	cuneiformsigndagkisim5timesbalag	CUNEIFORM SIGN DAG KISIM5 TIMES BALAG
1205A	cuneiformsigndagkisim5timesbi	CUNEIFORM SIGN DAG KISIM5 TIMES BI
1205B	cuneiformsigndagkisim5timesga	CUNEIFORM SIGN DAG KISIM5 TIMES GA
1205C	cuneiformsigndagkisim5timesgaplusmash	CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH
1205D	cuneiformsigndagkisim5timesgi	CUNEIFORM SIGN DAG KISIM5 TIMES GI
1205E	cuneiformsigndagkisim5timesgir2	CUNEIFORM SIGN DAG KISIM5 TIMES GIR2
1205F	cuneiformsigndagkisim5timesgud	CUNEIFORM SIGN DAG KISIM5 TIMES GUD
12060	cuneiformsigndagkisim5timesha	CUNEIFORM SIGN DAG KISIM5 TIMES HA
12061	cuneiformsigndagkisim5timesir	CUNEIFORM SIGN DAG KISIM5 TIMES IR
12062	cuneiformsigndagkisim5timesirpluslu	CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU
12063	cuneiformsigndagkisim5timeskak	CUNEIFORM SIGN DAG KISIM5 TIMES KAK
12064	cuneiformsigndagkisim5timesla	CUNEIFORM SIGN DAG KISIM5 TIMES LA
12065	cuneiformsigndagkisim5timeslu	CUNEIFORM SIGN DAG KISIM5 TIMES LU
12066	cuneiformsigndagkisim5timesluplusmash2	CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2
12067	cuneiformsigndagkisim5timeslum	CUNEIFORM SIGN DAG KISIM5 TIMES LUM
12068	cuneiformsigndagkisim5timesne	CUNEIFORM SIGN DAG KISIM5 TIMES NE
12069	cuneiformsigndagkisim5timespappluspap	CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP
1206A	cuneiformsigndagkisim5timessi	CUNEIFORM SIGN DAG KISIM5 TIMES SI
1206B	cuneiformsigndagkisim5timestak4	CUNEIFORM SIGN DAG KISIM5 TIMES TAK4
1206C	cuneiformsigndagkisim5timesu2plusgir2	CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2
1206D	cuneiformsigndagkisim5timesush	CUNEIFORM SIGN DAG KISIM5 TIMES USH
1206E	cuneiformsigndam	CUNEIFORM SIGN DAM
1206F	cuneiformsigndar	CUNEIFORM SIGN DAR
12070	cuneiformsigndara3	CUNEIFORM SIGN DARA3
12071	cuneiformsigndara4	CUNEIFORM SIGN DARA4
12072	cuneiformsigndi	CUNEIFORM SIGN DI
12073	cuneiformsigndib	CUNEIFORM SIGN DIB
12074	cuneiformsigndim	CUNEIFORM SIGN DIM
12075	cuneiformsigndimtimesshe	CUNEIFORM SIGN DIM TIMES SHE
12076	cuneiformsigndim2	CUNEIFORM SIGN DIM2
12077	cuneiformsigndin	CUNEIFORM SIGN DIN
12078	cuneiformsigndinkaskalugunudish	CUNEIFORM SIGN DIN KASKAL U GUNU DISH
12079	cuneiformsigndish	CUNEIFORM SIGN DISH
1207A	cuneiformsigndu	CUNEIFORM SIGN DU
1207B	cuneiformsignduoverdu	CUNEIFORM SIGN DU OVER DU
1207C	cuneiformsigndugunu	CUNEIFORM SIGN DU GUNU
1207D	cuneiformsigndusheshig	CUNEIFORM SIGN DU SHESHIG
1207E	cuneiformsigndub	CUNEIFORM SIGN DUB
1207F	cuneiformsigndubtimesesh2	CUNEIFORM SIGN DUB TIMES ESH2
12080	cuneiformsigndub2	CUNEIFORM SIGN DUB2
12081	cuneiformsigndug	CUNEIFORM SIGN DUG
12082	cuneiformsigndugud	CUNEIFORM SIGN DUGUD
12083	cuneiformsignduh	CUNEIFORM SIGN DUH
12084	cuneiformsigndun	CUNEIFORM SIGN DUN
12085	cuneiformsigndun3	CUNEIFORM SIGN DUN3
12086	cuneiformsigndun3gunu	CUNEIFORM SIGN DUN3 GUNU
12087	cuneiformsigndun3gunugunu	CUNEIFORM SIGN DUN3 GUNU GUNU
12088	cuneiformsigndun4	CUNEIFORM SIGN DUN4
12089	cuneiformsigndur2	CUNEIFORM SIGN DUR2
1208A	cuneiformsigne	CUNEIFORM SIGN E
1208B	cuneiformsignetimespap	CUNEIFORM SIGN E TIMES PAP
1208C	cuneiformsigneoverenunovernun	CUNEIFORM SIGN E OVER E NUN OVER NUN
1208D	cuneiformsigne2	CUNEIFORM SIGN E2
1208E	cuneiformsigne2timesaplushaplusda	CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA
1208F	cuneiformsigne2timesgar	CUNEIFORM SIGN E2 TIMES GAR
12090	cuneiformsigne2timesmi	CUNEIFORM SIGN E2 TIMES MI
12091	cuneiformsigne2timessal	CUNEIFORM SIGN E2 TIMES SAL
12092	cuneiformsigne2timesshe	CUNEIFORM SIGN E2 TIMES SHE
12093	cuneiformsigne2timesu	CUNEIFORM SIGN E2 TIMES U
12094	cuneiformsignedin	CUNEIFORM SIGN EDIN
12095	cuneiformsignegir	CUNEIFORM SIGN EGIR
12096	cuneiformsignel	CUNEIFORM SIGN EL
12097	cuneiformsignen	CUNEIFORM SIGN EN
12098	cuneiformsignentimesgan2	CUNEIFORM SIGN EN TIMES GAN2
12099	cuneiformsignentimesgan2tenu	CUNEIFORM SIGN EN TIMES GAN2 TENU
1209A	cuneiformsignentimesme	CUNEIFORM SIGN EN TIMES ME
1209B	cuneiformsignencrossingen	CUNEIFORM SIGN EN CROSSING EN
1209C	cuneiformsignenopposingen	CUNEIFORM SIGN EN OPPOSING EN
1209D	cuneiformsignensquared	CUNEIFORM SIGN EN SQUARED
1209E	cuneiformsigneren	CUNEIFORM SIGN EREN
1209F	cuneiformsignerin2	CUNEIFORM SIGN ERIN2
120A0	cuneiformsignesh2	CUNEIFORM SIGN ESH2
120A1	cuneiformsignezen	CUNEIFORM SIGN EZEN
120A2	cuneiformsignezentimesa	CUNEIFORM SIGN EZEN TIMES A
120A3	cuneiformsignezentimesapluslal	CUNEIFORM SIGN EZEN TIMES A PLUS LAL
120A4	cuneiformsignezentimesapluslaltimeslal	CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL
120A5	cuneiformsignezentimesan	CUNEIFORM SIGN EZEN TIMES AN
120A6	cuneiformsignezentimesbad	CUNEIFORM SIGN EZEN TIMES BAD
120A7	cuneiformsignezentimesdun3gunu	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU
120A8	cuneiformsignezentimesdun3gunugunu	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU
120A9	cuneiformsignezentimesha	CUNEIFORM SIGN EZEN TIMES HA
120AA	cuneiformsignezentimeshagunu	CUNEIFORM SIGN EZEN TIMES HA GUNU
120AB	cuneiformsignezentimesigigunu	CUNEIFORM SIGN EZEN TIMES IGI GUNU
