# Arabic Presentation Forms-B 0FE70 - 0FEFF
FE70	fathatanIsol	ARABIC FATHATAN ISOLATED FORM
FECC	ain.medi	ARABIC LETTER AIN MEDIAL FORM
FECD	ghain.isol	ARABIC LETTER GHAIN ISOLATED FORM
FECE	ghain.fina	ARABIC LETTER GHAIN FINAL FORM
FECF	ghain.init	ARABIC LETTER GHAIN INITIAL FORM
FED0	ghain.medi	ARABIC LETTER GHAIN MEDIAL FORM
FED1	feh.isol	ARABIC LETTER FEH ISOLATED FORM
FED2	feh.fina	ARABIC LETTER FEH FINAL FORM
FED3	feh.init	ARABIC LETTER FEH INITIAL FORM
FED4	feh.medi	ARABIC LETTER FEH MEDIAL FORM
FED5	qaf.isol	ARABIC LETTER QAF ISOLATED FORM
FED6	qaf.fina	ARABIC LETTER QAF FINAL FORM
FED7	qaf.init	ARABIC LETTER QAF INITIAL FORM
FED8	qaf.medi	ARABIC LETTER QAF MEDIAL FORM
FED9	kaf.isol	ARABIC LETTER KAF ISOLATED FORM
FEDA	kaf.fina	ARABIC LETTER KAF FINAL FORM
FEDB	kaf.init	ARABIC LETTER KAF INITIAL FORM
FEDC	kaf.medi	ARABIC LETTER KAF MEDIAL FORM
FEDD	lam.isol	ARABIC LETTER LAM ISOLATED FORM
FEDE	lam.fina	ARABIC LETTER LAM FINAL FORM
FEDF	lam.init	ARABIC LETTER LAM INITIAL FORM
FEE0	lam.medi	ARABIC LETTER LAM MEDIAL FORM
FEE1	meem.isol	ARABIC LETTER MEEM ISOLATED FORM
FEE2	meem.fina	ARABIC LETTER MEEM FINAL FORM
FEE3	meem.init	ARABIC LETTER MEEM INITIAL FORM
FEE4	meem.medi	ARABIC LETTER MEEM MEDIAL FORM
FEE5	noon.isol	ARABIC LETTER NOON ISOLATED FORM
FEE6	noon.fina	ARABIC LETTER NOON FINAL FORM
FEE7	noon.init	ARABIC LETTER NOON INITIAL FORM
FEE8	noon.medi	ARABIC LETTER NOON MEDIAL FORM
FEE9	heh.isol	ARABIC LETTER HEH ISOLATED FORM
FEEA	heh.fina	ARABIC LETTER HEH FINAL FORM
FEEB	heh.init	ARABIC LETTER HEH INITIAL FORM
FEEC	heh.medi	ARABIC LETTER HEH MEDIAL FORM
FEED	waw.isol	ARABIC LETTER WAW ISOLATED FORM
FEEE	waw.fina	ARABIC LETTER WAW FINAL FORM
FEEF	alefmaksura.isol	ARABIC LETTER ALEF MAKSURA ISOLATED FORM
FEF0	alefmaksura.fina	ARABIC LETTER ALEF MAKSURA FINAL FORM
FEF1	yeh.isol	ARABIC LETTER YEH ISOLATED FORM
FEF2	yeh.fina	ARABIC LETTER YEH FINAL FORM
FEF3	yeh.init	ARABIC LETTER YEH INITIAL FORM
FEF4	yeh.medi	ARABIC LETTER YEH MEDIAL FORM
FEF5	lam.init_alef.medi_maddaabove.fina	ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE ISOLATED FORM
FEF6	lam.medi_alef.medi_maddaabove.fina	ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE FINAL FORM
FEF7	lam.init_alef.medi_hamzaabove.fina	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE ISOLATED FORM
FEF8	lam.medi_alef.medi_hamzaabove.fina	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE FINAL FORM
FEF9	lam.init_alef.medi_hamzabelow.fina	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW ISOLATED FORM
FEFA	lam.medi_alef.medi_hamzabelow.fina	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW FINAL FORM
FEFB	lam.init_alef.fina	ARABIC LIGATURE LAM WITH ALEF ISOLATED FORM
FEFC	lam.medi_alef.fina	ARABIC LIGATURE LAM WITH ALEF FINAL FORM
FEFF	zerowidthnobreakspace	ZERO WIDTH NO-BREAK SPACE
