# Devanagari 00900 - 0097F
0972	deva:acandra	DEVANAGARI LETTER CANDRA A
0973	deva:oe	DEVANAGARI LETTER OE
0974	deva:ooe	DEVANAGARI LETTER OOE
0975	deva:aw	DEVANAGARI LETTER AW
0976	deva:ue	DEVANAGARI LETTER UE
0977	deva:uue	DEVANAGARI LETTER UUE
0978	deva:marwaridda	DEVANAGARI LETTER MARWARI DDA
0979	deva:zha	DEVANAGARI LETTER ZHA
097A	deva:yaheavy	DEVANAGARI LETTER HEAVY YA
097B	deva:gga	DEVANAGARI LETTER GGA
097C	deva:jja	DEVANAGARI LETTER JJA
097D	deva:glottalstop	DEVANAGARI LETTER GLOTTAL STOP
097E	deva:ddda	DEVANAGARI LETTER DDDA
097F	deva:bba	DEVANAGARI LETTER BBA
