# Miscellaneous Symbols 02600 - 026FF
268D	digramlesseryin	DIGRAM FOR LESSER YIN
268E	digramlesseryang	DIGRAM FOR LESSER YANG
268F	digramgreateryin	DIGRAM FOR GREATER YIN
2690	flagwhite	WHITE FLAG
2691	flagblack	BLACK FLAG
2692	hammerpick	HAMMER AND PICK
2693	anchor	ANCHOR
2694	crossedswords	CROSSED SWORDS
2695	staffofaesculapius	STAFF OF AESCULAPIUS
2696	scales	SCALES
2697	alembic	ALEMBIC
2698	flower	FLOWER
2699	gear	GEAR
269A	staffofhermes	STAFF OF HERMES
269B	atom	ATOM SYMBOL
269C	fleurdelis	FLEUR-DE-LIS
269D	staroutlinedwhite	OUTLINED WHITE STAR
269E	threelinesconvergingright	THREE LINES CONVERGING RIGHT
269F	threelinesconvergingleft	THREE LINES CONVERGING LEFT
26A0	warning	WARNING SIGN
26A1	highvoltage	HIGH VOLTAGE SIGN
26A2	dfemaledbl	DOUBLED FEMALE SIGN
26A3	dmaledbl	DOUBLED MALE SIGN
26A4	interlockedfemalemale	INTERLOCKED FEMALE AND MALE SIGN
26A5	malefemale	MALE AND FEMALE SIGN
26A6	malestroke	MALE WITH STROKE SIGN
26A7	malestrokemalefemale	MALE WITH STROKE AND MALE AND FEMALE SIGN
26A8	verticalmalestroke	VERTICAL MALE WITH STROKE SIGN
26A9	horizontalmalestroke	HORIZONTAL MALE WITH STROKE SIGN
26AA	mediumcirclewhite	MEDIUM WHITE CIRCLE
26AB	mediumcircleblack	MEDIUM BLACK CIRCLE
26AC	mediumsmallcirclewhite	MEDIUM SMALL WHITE CIRCLE
26AD	marriage	MARRIAGE SYMBOL
26AE	divorce	DIVORCE SYMBOL
26AF	unmarriedpartnership	UNMARRIED PARTNERSHIP SYMBOL
26B0	coffin	COFFIN
26B1	funeralurn	FUNERAL URN
26B2	neuter	NEUTER
26B3	ceres	CERES
26B4	pallas	PALLAS
26B5	juno	JUNO
26B6	vesta	VESTA
26B7	chiron	CHIRON
26B8	moonlilithblack	BLACK MOON LILITH
26B9	sextile	SEXTILE
26BA	semisextile	SEMISEXTILE
26BB	quincunx	QUINCUNX
26BC	sesquiquadrate	SESQUIQUADRATE
26BD	soccerball	SOCCER BALL
26BE	baseball	BASEBALL
26BF	squaredkey	SQUARED KEY
26C0	draughtsmanwhite	WHITE DRAUGHTS MAN
26C1	draughtskingwhite	WHITE DRAUGHTS KING
26C2	draughtsmanblack	BLACK DRAUGHTS MAN
26C3	draughtskingblack	BLACK DRAUGHTS KING
26C4	snowmanoutsnow	SNOWMAN WITHOUT SNOW
26C5	sunbehindcloud	SUN BEHIND CLOUD
26C6	rain	RAIN
26C7	snowmanblack	BLACK SNOWMAN
26C8	thundercloudrain	THUNDER CLOUD AND RAIN
26C9	turnedshogipiecewhite	TURNED WHITE SHOGI PIECE
26CA	turnedshogipieceblack	TURNED BLACK SHOGI PIECE
26CB	diamondinsquarewhite	WHITE DIAMOND IN SQUARE
26CC	crossinglanes	CROSSING LANES
26CD	disabledcar	DISABLED CAR
26CE	ophiuchus	OPHIUCHUS
26CF	pick	PICK
26D0	carsliding	CAR SLIDING
26D1	helmetcrosswhite	HELMET WITH WHITE CROSS
26D2	circledcrossinglanes	CIRCLED CROSSING LANES
26D3	chains	CHAINS
26D4	noentry	NO ENTRY
26D5	alternateonewayleftwaytraffic	ALTERNATE ONE-WAY LEFT WAY TRAFFIC
26D6	twowayleftwaytrafficblack	BLACK TWO-WAY LEFT WAY TRAFFIC
26D7	twowayleftwaytrafficwhite	WHITE TWO-WAY LEFT WAY TRAFFIC
26D8	lanemergeleftblack	BLACK LEFT LANE MERGE
26D9	lanemergeleftwhite	WHITE LEFT LANE MERGE
26DA	driveslow	DRIVE SLOW SIGN
26DB	pointingtriangledownheavywhite	HEAVY WHITE DOWN-POINTING TRIANGLE
26DC	closedentryleft	LEFT CLOSED ENTRY
26DD	squaredsaltire	SQUARED SALTIRE
26DE	fallingdiagonalincircleinsquareblackwhite	FALLING DIAGONAL IN WHITE CIRCLE IN BLACK SQUARE
26DF	truckblack	BLACK TRUCK
26E0	restrictedentryoneleft	RESTRICTED LEFT ENTRY-1
26E1	restrictedentrytwoleft	RESTRICTED LEFT ENTRY-2
26E2	astronomicaluranus	ASTRONOMICAL SYMBOL FOR URANUS
26E3	circlestroketwodotsaboveheavy	HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
26E4	pentagram	PENTAGRAM
26E5	hedinterlacedpentagramright	RIGHT-HANDED INTERLACED PENTAGRAM
26E6	hedinterlacedpentagramleft	LEFT-HANDED INTERLACED PENTAGRAM
26E7	invertedpentagram	INVERTED PENTAGRAM
26E8	crossonshieldblack	BLACK CROSS ON SHIELD
26E9	shintoshrine	SHINTO SHRINE
26EA	church	CHURCH
26EB	castle	CASTLE
26EC	historicsite	HISTORIC SITE
26ED	gearouthub	GEAR WITHOUT HUB
26EE	gearhles	GEAR WITH HANDLES
26EF	maplighthouse	MAP SYMBOL FOR LIGHTHOUSE
26F0	mountain	MOUNTAIN
26F1	umbrellaonground	UMBRELLA ON GROUND
26F2	fountain	FOUNTAIN
26F3	flaginhole	FLAG IN HOLE
26F4	ferry	FERRY
26F5	sailboat	SAILBOAT
26F6	squarefourcorners	SQUARE FOUR CORNERS
26F7	skier	SKIER
26F8	iceskate	ICE SKATE
26F9	personball	PERSON WITH BALL
26FA	tent	TENT
26FB	japanesebank	JAPANESE BANK SYMBOL
26FC	headstonegraveyard	HEADSTONE GRAVEYARD SYMBOL
26FD	fuelpump	FUEL PUMP
26FE	consquareupblack	CUP ON BLACK SQUARE
26FF	flaghorizontalmiddlestripeblackwhite	WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
