# Mongolian 01800 - 018AF
1878	mong:chawithtwodots	MONGOLIAN LETTER CHA WITH TWO DOTS
1880	mong:anusvaraonealigali	MONGOLIAN LETTER ALI GALI ANUSVARA ONE
1881	mong:visargaonealigali	MONGOLIAN LETTER ALI GALI VISARGA ONE
1882	mong:damarualigali	MONGOLIAN LETTER ALI GALI DAMARU
1883	mong:ubadamaaligali	MONGOLIAN LETTER ALI GALI UBADAMA
1884	mong:ubadamaaligaliinverted	MONGOLIAN LETTER ALI GALI INVERTED UBADAMA
1885	mong:baludaaligali	MONGOLIAN LETTER ALI GALI BALUDA
1886	mong:baludaaligalithree	MONGOLIAN LETTER ALI GALI THREE BALUDA
1887	mong:aaligali	MONGOLIAN LETTER ALI GALI A
1888	mong:ialigali	MONGOLIAN LETTER ALI GALI I
1889	mong:kaaligali	MONGOLIAN LETTER ALI GALI KA
188A	mong:ngaaligali	MONGOLIAN LETTER ALI GALI NGA
188B	mong:caaligali	MONGOLIAN LETTER ALI GALI CA
188C	mong:ttaaligali	MONGOLIAN LETTER ALI GALI TTA
188D	mong:tthaaligali	MONGOLIAN LETTER ALI GALI TTHA
188E	mong:ddaaligali	MONGOLIAN LETTER ALI GALI DDA
188F	mong:nnaaligali	MONGOLIAN LETTER ALI GALI NNA
1890	mong:taaligali	MONGOLIAN LETTER ALI GALI TA
1891	mong:daaligali	MONGOLIAN LETTER ALI GALI DA
1892	mong:paaligali	MONGOLIAN LETTER ALI GALI PA
1893	mong:phaaligali	MONGOLIAN LETTER ALI GALI PHA
1894	mong:ssaaligali	MONGOLIAN LETTER ALI GALI SSA
1895	mong:zhaaligali	MONGOLIAN LETTER ALI GALI ZHA
1896	mong:zaaligali	MONGOLIAN LETTER ALI GALI ZA
1897	mong:ahaligali	MONGOLIAN LETTER ALI GALI AH
1898	mong:tatodoaligali	MONGOLIAN LETTER TODO ALI GALI TA
1899	mong:zhatodoaligali	MONGOLIAN LETTER TODO ALI GALI ZHA
189A	mong:ghamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI GHA
189B	mong:ngamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI NGA
189C	mong:camanchualigali	MONGOLIAN LETTER MANCHU ALI GALI CA
189D	mong:jhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI JHA
189E	mong:ttamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI TTA
189F	mong:ddhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI DDHA
18A0	mong:tamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI TA
18A1	mong:dhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI DHA
18A2	mong:ssamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI SSA
18A3	mong:cyamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI CYA
18A4	mong:zhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI ZHA
18A5	mong:zamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI ZA
18A6	mong:ualigalihalf	MONGOLIAN LETTER ALI GALI HALF U
18A7	mong:yaaligalihalf	MONGOLIAN LETTER ALI GALI HALF YA
18A8	mong:bhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI BHA
18A9	mong:dagalgaaligali	MONGOLIAN LETTER ALI GALI DAGALGA
18AA	mong:lhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI LHA
