# Tibetan 00F00 - 00FFF
0F5B	tibt:dza	TIBETAN LETTER DZA
0F5C	tibt:dzha	TIBETAN LETTER DZHA
0F5D	tibt:wa	TIBETAN LETTER WA
0F5E	tibt:zha	TIBETAN LETTER ZHA
0F5F	tibt:za	TIBETAN LETTER ZA
0F60	tibt:AA	TIBETAN LETTER -A
0F61	tibt:ya	TIBETAN LETTER YA
0F62	tibt:ra	TIBETAN LETTER RA
0F63	tibt:la	TIBETAN LETTER LA
0F64	tibt:sha	TIBETAN LETTER SHA
0F65	tibt:ssa	TIBETAN LETTER SSA
0F66	tibt:sa	TIBETAN LETTER SA
0F67	tibt:ha	TIBETAN LETTER HA
0F68	tibt:a	TIBETAN LETTER A
0F69	tibt:kssa	TIBETAN LETTER KSSA
0F6A	tibt:rafixed	TIBETAN LETTER FIXED-FORM RA
0F6B	tibt:kka	TIBETAN LETTER KKA
0F6C	tibt:rra	TIBETAN LETTER RRA
0F71	tibt:aavowelsign	TIBETAN VOWEL SIGN AA
0F72	tibt:ivowelsign	TIBETAN VOWEL SIGN I
0F73	tibt:iivowelsign	TIBETAN VOWEL SIGN II
0F74	tibt:uvowelsign	TIBETAN VOWEL SIGN U
0F75	tibt:uuvowelsign	TIBETAN VOWEL SIGN UU
0F76	tibt:rvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC R
0F77	tibt:rrvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC RR
0F78	tibt:lvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC L
0F79	tibt:llvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC LL
0F7A	tibt:evowelsign	TIBETAN VOWEL SIGN E
0F7B	tibt:eevowelsign	TIBETAN VOWEL SIGN EE
0F7C	tibt:ovowelsign	TIBETAN VOWEL SIGN O
0F7D	tibt:oovowelsign	TIBETAN VOWEL SIGN OO
0F7E	tibt:rjessungarosign	TIBETAN SIGN RJES SU NGA RO
0F7F	tibt:rnambcadsign	TIBETAN SIGN RNAM BCAD
0F80	tibt:reversedivowelsign	TIBETAN VOWEL SIGN REVERSED I
0F81	tibt:reversediivowelsign	TIBETAN VOWEL SIGN REVERSED II
0F82	tibt:nyizlanaadasign	TIBETAN SIGN NYI ZLA NAA DA
0F83	tibt:snaldansign	TIBETAN SIGN SNA LDAN
0F84	tibt:halantamark	TIBETAN MARK HALANTA
0F85	tibt:palutamark	TIBETAN MARK PALUTA
0F86	tibt:lcirtagssign	TIBETAN SIGN LCI RTAGS
0F87	tibt:yangrtagssign	TIBETAN SIGN YANG RTAGS
0F88	tibt:lcetsacansign	TIBETAN SIGN LCE TSA CAN
0F89	tibt:mchucansign	TIBETAN SIGN MCHU CAN
0F8A	tibt:grucanrgyingssign	TIBETAN SIGN GRU CAN RGYINGS
0F8B	tibt:grumedrgyingssign	TIBETAN SIGN GRU MED RGYINGS
0F8C	tibt:invertedmchucansign	TIBETAN SIGN INVERTED MCHU CAN
0F8D	tibt:lcetsacansubjoinedsign	TIBETAN SUBJOINED SIGN LCE TSA CAN
0F8E	tibt:mchucansubjoinedsign	TIBETAN SUBJOINED SIGN MCHU CAN
0F8F	tibt:invertedmchucansubjoinedsign	TIBETAN SUBJOINED SIGN INVERTED MCHU CAN
0F90	tibt:kasubjoined	TIBETAN SUBJOINED LETTER KA
0F91	tibt:khasubjoined	TIBETAN SUBJOINED LETTER KHA
