# Miscellaneous Symbols and Pictographs 1F300 - 1F5FF
1F5DA	increaseFontSize	INCREASE FONT SIZE SYMBOL
1F5DB	decreaseFontSize	DECREASE FONT SIZE SYMBOL
1F5DC	compression	COMPRESSION
1F5DD	oldKey	OLD KEY
1F5DE	rolled-upNewspaper	ROLLED-UP NEWSPAPER
1F5DF	pageCircledText	PAGE WITH CIRCLED TEXT
1F5E0	stockChart	STOCK CHART
1F5E1	daggerKnife	DAGGER KNIFE
1F5E2	lips	LIPS
1F5E3	speakingHeadInSilhouette	SPEAKING HEAD IN SILHOUETTE
1F5E4	threeRaysAbove	THREE RAYS ABOVE
1F5E5	threeRaysBelow	THREE RAYS BELOW
1F5E6	threeRaysLeft	THREE RAYS LEFT
1F5E7	threeRaysRight	THREE RAYS RIGHT
1F5E8	leftSpeechBubble	LEFT SPEECH BUBBLE
1F5E9	rightSpeechBubble	RIGHT SPEECH BUBBLE
1F5EA	twoSpeechBubbles	TWO SPEECH BUBBLES
1F5EB	threeSpeechBubbles	THREE SPEECH BUBBLES
1F5EC	leftThoughtBubble	LEFT THOUGHT BUBBLE
1F5ED	rightThoughtBubble	RIGHT THOUGHT BUBBLE
1F5EE	leftAngerBubble	LEFT ANGER BUBBLE
1F5EF	rightAngerBubble	RIGHT ANGER BUBBLE
1F5F0	moodBubble	MOOD BUBBLE
1F5F1	lightningMoodBubble	LIGHTNING MOOD BUBBLE
1F5F2	lightningMood	LIGHTNING MOOD
1F5F3	ballotBoxBallot	BALLOT BOX WITH BALLOT
1F5F4	ballotScriptX	BALLOT SCRIPT X
1F5F5	ballotBoxScriptX	BALLOT BOX WITH SCRIPT X
1F5F6	ballotBoldScriptX	BALLOT BOLD SCRIPT X
1F5F7	ballotBoxBoldScriptX	BALLOT BOX WITH BOLD SCRIPT X
1F5F8	lightCheckMark	LIGHT CHECK MARK
1F5F9	ballotBoxBoldCheck	BALLOT BOX WITH BOLD CHECK
1F5FA	worldMap	WORLD MAP
1F5FB	mountFuji	MOUNT FUJI
1F5FC	tokyoTower	TOKYO TOWER
1F5FD	statueOfLiberty	STATUE OF LIBERTY
1F5FE	silhouetteOfJapan	SILHOUETTE OF JAPAN
1F5FF	moyai	MOYAI
