# Ethiopic 01200 - 0137F
1274	ethi:tee	ETHIOPIC SYLLABLE TEE
1275	ethi:te	ETHIOPIC SYLLABLE TE
1276	ethi:to	ETHIOPIC SYLLABLE TO
1277	ethi:twa	ETHIOPIC SYLLABLE TWA
1278	ethi:ca	ETHIOPIC SYLLABLE CA
1279	ethi:cu	ETHIOPIC SYLLABLE CU
127A	ethi:ci	ETHIOPIC SYLLABLE CI
127B	ethi:caa	ETHIOPIC SYLLABLE CAA
127C	ethi:cee	ETHIOPIC SYLLABLE CEE
127D	ethi:ce	ETHIOPIC SYLLABLE CE
127E	ethi:co	ETHIOPIC SYLLABLE CO
127F	ethi:cwa	ETHIOPIC SYLLABLE CWA
1280	ethi:xa	ETHIOPIC SYLLABLE XA
1281	ethi:xu	ETHIOPIC SYLLABLE XU
1282	ethi:xi	ETHIOPIC SYLLABLE XI
1283	ethi:xaa	ETHIOPIC SYLLABLE XAA
1284	ethi:xee	ETHIOPIC SYLLABLE XEE
1285	ethi:xe	ETHIOPIC SYLLABLE XE
1286	ethi:xo	ETHIOPIC SYLLABLE XO
1287	ethi:xoa	ETHIOPIC SYLLABLE XOA
1288	ethi:xwa	ETHIOPIC SYLLABLE XWA
128A	ethi:xwi	ETHIOPIC SYLLABLE XWI
128B	ethi:xwaa	ETHIOPIC SYLLABLE XWAA
128C	ethi:xwee	ETHIOPIC SYLLABLE XWEE
128D	ethi:xwe	ETHIOPIC SYLLABLE XWE
1290	ethi:na	ETHIOPIC SYLLABLE NA
1291	ethi:nu	ETHIOPIC SYLLABLE NU
1292	ethi:ni	ETHIOPIC SYLLABLE NI
1293	ethi:naa	ETHIOPIC SYLLABLE NAA
1294	ethi:nee	ETHIOPIC SYLLABLE NEE
1295	ethi:ne	ETHIOPIC SYLLABLE NE
1296	ethi:no	ETHIOPIC SYLLABLE NO
1297	ethi:nwa	ETHIOPIC SYLLABLE NWA
1298	ethi:nya	ETHIOPIC SYLLABLE NYA
1299	ethi:nyu	ETHIOPIC SYLLABLE NYU
129A	ethi:nyi	ETHIOPIC SYLLABLE NYI
129B	ethi:nyaa	ETHIOPIC SYLLABLE NYAA
129C	ethi:nyee	ETHIOPIC SYLLABLE NYEE
129D	ethi:nye	ETHIOPIC SYLLABLE NYE
129E	ethi:nyo	ETHIOPIC SYLLABLE NYO
129F	ethi:nywa	ETHIOPIC SYLLABLE NYWA
12A0	ethi:aglottal	ETHIOPIC SYLLABLE GLOTTAL A
12A1	ethi:uglottal	ETHIOPIC SYLLABLE GLOTTAL U
