# Mathematical Operators 02200 - 022FF
228B	sersetnotequalup	SUPERSET OF WITH NOT EQUAL TO
228C	multiset	MULTISET
228D	multisetmultiplication	MULTISET MULTIPLICATION
228E	multisetunion	MULTISET UNION
228F	squareimage	SQUARE IMAGE OF
2290	squareoriginal	SQUARE ORIGINAL OF
2291	squareimageorequal	SQUARE IMAGE OF OR EQUAL TO
2292	squareoriginalorequal	SQUARE ORIGINAL OF OR EQUAL TO
2293	squarecap	SQUARE CAP
2294	squarecup	SQUARE CUP
2295	circleplus	CIRCLED PLUS
2296	circledminus	CIRCLED MINUS
2297	circlemultiply	CIRCLED TIMES
2298	circleddivisionslash	CIRCLED DIVISION SLASH
2299	circleddotoperator	CIRCLED DOT OPERATOR
229A	circledringoperator	CIRCLED RING OPERATOR
229B	circledasteriskoperator	CIRCLED ASTERISK OPERATOR
229C	circledequals	CIRCLED EQUALS
229D	circleddash	CIRCLED DASH
229E	squaredplus	SQUARED PLUS
229F	squaredminus	SQUARED MINUS
22A0	squaredtimes	SQUARED TIMES
22A1	squareddotoperator	SQUARED DOT OPERATOR
22A2	tackright	RIGHT TACK
22A3	tackleft	LEFT TACK
22A4	tackdown	DOWN TACK
22A5	tackup	UP TACK
22A6	assertion	ASSERTION
22A7	models	MODELS
22A8	true	TRUE
22A9	forces	FORCES
22AA	turnstiletplverticalbarright	TRIPLE VERTICAL BAR RIGHT TURNSTILE
22AB	turnstiledblverticalbarright	DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
22AC	doesnotprove	DOES NOT PROVE
22AD	nottrue	NOT TRUE
22AE	doesnotforce	DOES NOT FORCE
22AF	negatedturnstiledblverticalbarright	NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
22B0	precedesunderrelation	PRECEDES UNDER RELATION
22B1	succeedsunderrelation	SUCCEEDS UNDER RELATION
22B2	normalsubgroup	NORMAL SUBGROUP OF
22B3	containsasnormalsubgroup	CONTAINS AS NORMAL SUBGROUP
22B4	normalsubgroorequalup	NORMAL SUBGROUP OF OR EQUAL TO
22B5	containsasnormalsubgroorequalup	CONTAINS AS NORMAL SUBGROUP OR EQUAL TO
22B6	original	ORIGINAL OF
22B7	image	IMAGE OF
22B8	multimap	MULTIMAP
22B9	hermitianconjugatematrix	HERMITIAN CONJUGATE MATRIX
22BA	intercalate	INTERCALATE
22BB	xor	XOR
22BC	nand	NAND
22BD	nor	NOR
22BE	anglearcright	RIGHT ANGLE WITH ARC
22BF	triangleright	RIGHT TRIANGLE
22C0	logicalandarray	N-ARY LOGICAL AND
22C1	logicalorarray	N-ARY LOGICAL OR
22C2	intersectionarray	N-ARY INTERSECTION
22C3	unionarray	N-ARY UNION
22C4	diamondoperator	DIAMOND OPERATOR
22C5	dotmath	DOT OPERATOR
22C6	staroperator	STAR OPERATOR
22C7	divisiontimes	DIVISION TIMES
22C8	math:bowtie	BOWTIE
22C9	normalfacrsemidirectproductleft	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
22CA	normalfacrsemidirectproductright	RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT
22CB	semidirectproductleft	LEFT SEMIDIRECT PRODUCT
22CC	semidirectproductright	RIGHT SEMIDIRECT PRODUCT
