# Box Drawing 02500 - 0257F
2547	dnlightuphorzheavy	BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
2548	uplightdnhorzheavy	BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
2549	rightlightleftvertheavy	BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
254A	leftlightrightvertheavy	BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
254B	heavyverthorz	BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
254C	lightdbldashhorz	BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL
254D	heavydbldashhorz	BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL
254E	lightdbldashvert	BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL
254F	heavydbldashvert	BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL
2550	dblhorz	BOX DRAWINGS DOUBLE HORIZONTAL
2551	dblvert	BOX DRAWINGS DOUBLE VERTICAL
2552	dnsngrightdbl	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
2553	dndblrightsng	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
2554	dbldnright	BOX DRAWINGS DOUBLE DOWN AND RIGHT
2555	dnsngleftdbl	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
2556	dndblleftsng	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
2557	dbldnleft	BOX DRAWINGS DOUBLE DOWN AND LEFT
2558	upsngrightdbl	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
2559	updblrightsng	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
255A	dblupright	BOX DRAWINGS DOUBLE UP AND RIGHT
255B	upsngleftdbl	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
255C	updblleftsng	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
255D	dblupleft	BOX DRAWINGS DOUBLE UP AND LEFT
255E	vertsngrightdbl	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
255F	vertdblrightsng	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
2560	dblvertright	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
2561	vertsngleftdbl	BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
2562	vertdblleftsng	BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
2563	dblvertleft	BOX DRAWINGS DOUBLE VERTICAL AND LEFT
2564	dnsnghorzdbl	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
2565	dndblhorzsng	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
2566	dbldnhorz	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
2567	upsnghorzdbl	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
2568	updblhorzsng	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
2569	dbluphorz	BOX DRAWINGS DOUBLE UP AND HORIZONTAL
256A	vertsnghorzdbl	BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
256B	vertdblhorzsng	BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
256C	dblverthorz	BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
256D	lightarcdnright	BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
256E	lightarcdnleft	BOX DRAWINGS LIGHT ARC DOWN AND LEFT
256F	lightarcupleft	BOX DRAWINGS LIGHT ARC UP AND LEFT
2570	lightarcupright	BOX DRAWINGS LIGHT ARC UP AND RIGHT
2571	lightdiaguprightdnleft	BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
2572	lightdiagupleftdnright	BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
2573	lightdiagcross	BOX DRAWINGS LIGHT DIAGONAL CROSS
2574	lightleft	BOX DRAWINGS LIGHT LEFT
2575	lightup	BOX DRAWINGS LIGHT UP
2576	lightright	BOX DRAWINGS LIGHT RIGHT
2577	lightdn	BOX DRAWINGS LIGHT DOWN
2578	heavyleft	BOX DRAWINGS HEAVY LEFT
2579	heavyup	BOX DRAWINGS HEAVY UP
257A	heavyright	BOX DRAWINGS HEAVY RIGHT
257B	heavydn	BOX DRAWINGS HEAVY DOWN
257C	lightleftheavyright	BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT
257D	lightupheavydn	BOX DRAWINGS LIGHT UP AND HEAVY DOWN
257E	heavyleftlightright	BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT
257F	heavyuplightdn	BOX DRAWINGS HEAVY UP AND LIGHT DOWN
