# CJK Compatibility 03300 - 033FF
33E1	daytwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO
33E2	daythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE
33E3	dayfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR
33E4	dayfivetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE
33E5	daysixtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX
33E6	dayseventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN
33E7	dayeighttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT
33E8	dayninetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE
33E9	daytentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN
33EA	dayeleventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN
33EB	daytwelvetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE
33EC	daythirteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN
33ED	dayfourteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN
33EE	dayfifteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN
33EF	daysixteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN
33F0	dayseventeentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN
33F1	dayeighteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHTEEN
33F2	daynineteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINETEEN
33F3	daytwentytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY
33F4	daytwentyonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE
33F5	daytwentytwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO
33F6	daytwentythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE
33F7	daytwentyfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR
33F8	daytwentyfivetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE
33F9	daytwentysixtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX
33FA	daytwentyseventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN
33FB	daytwentyeighttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT
33FC	daytwentyninetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE
33FD	daythirtytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY
33FE	daythirtyonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE
33FF	galsquare	SQUARE GAL
