# Braille Patterns 02800 - 028FF
2800	brblank	BRAILLE PATTERN BLANK
287A	dots24567	BRAILLE PATTERN DOTS-24567
287B	dots124567	BRAILLE PATTERN DOTS-124567
287C	dots34567	BRAILLE PATTERN DOTS-34567
287D	dots134567	BRAILLE PATTERN DOTS-134567
287E	dots234567	BRAILLE PATTERN DOTS-234567
287F	dots1234567	BRAILLE PATTERN DOTS-1234567
2880	dots8	BRAILLE PATTERN DOTS-8
2881	dots18	BRAILLE PATTERN DOTS-18
2882	dots28	BRAILLE PATTERN DOTS-28
2883	dots128	BRAILLE PATTERN DOTS-128
2884	dots38	BRAILLE PATTERN DOTS-38
2885	dots138	BRAILLE PATTERN DOTS-138
2886	dots238	BRAILLE PATTERN DOTS-238
2887	dots1238	BRAILLE PATTERN DOTS-1238
2888	dots48	BRAILLE PATTERN DOTS-48
2889	dots148	BRAILLE PATTERN DOTS-148
288A	dots248	BRAILLE PATTERN DOTS-248
288B	dots1248	BRAILLE PATTERN DOTS-1248
288C	dots348	BRAILLE PATTERN DOTS-348
288D	dots1348	BRAILLE PATTERN DOTS-1348
288E	dots2348	BRAILLE PATTERN DOTS-2348
288F	dots12348	BRAILLE PATTERN DOTS-12348
2890	dots58	BRAILLE PATTERN DOTS-58
2891	dots158	BRAILLE PATTERN DOTS-158
2892	dots258	BRAILLE PATTERN DOTS-258
2893	dots1258	BRAILLE PATTERN DOTS-1258
2894	dots358	BRAILLE PATTERN DOTS-358
2895	dots1358	BRAILLE PATTERN DOTS-1358
2896	dots2358	BRAILLE PATTERN DOTS-2358
2897	dots12358	BRAILLE PATTERN DOTS-12358
2898	dots458	BRAILLE PATTERN DOTS-458
2899	dots1458	BRAILLE PATTERN DOTS-1458
289A	dots2458	BRAILLE PATTERN DOTS-2458
289B	dots12458	BRAILLE PATTERN DOTS-12458
289C	dots3458	BRAILLE PATTERN DOTS-3458
289D	dots13458	BRAILLE PATTERN DOTS-13458
289E	dots23458	BRAILLE PATTERN DOTS-23458
289F	dots123458	BRAILLE PATTERN DOTS-123458
28A0	dots68	BRAILLE PATTERN DOTS-68
28A1	dots168	BRAILLE PATTERN DOTS-168
28A2	dots268	BRAILLE PATTERN DOTS-268
28A3	dots1268	BRAILLE PATTERN DOTS-1268
28A4	dots368	BRAILLE PATTERN DOTS-368
28A5	dots1368	BRAILLE PATTERN DOTS-1368
28A6	dots2368	BRAILLE PATTERN DOTS-2368
28A7	dots12368	BRAILLE PATTERN DOTS-12368
28A8	dots468	BRAILLE PATTERN DOTS-468
28A9	dots1468	BRAILLE PATTERN DOTS-1468
28AA	dots2468	BRAILLE PATTERN DOTS-2468
28AB	dots12468	BRAILLE PATTERN DOTS-12468
28AC	dots3468	BRAILLE PATTERN DOTS-3468
28AD	dots13468	BRAILLE PATTERN DOTS-13468
28AE	dots23468	BRAILLE PATTERN DOTS-23468
28AF	dots123468	BRAILLE PATTERN DOTS-123468
28B0	dots568	BRAILLE PATTERN DOTS-568
28B1	dots1568	BRAILLE PATTERN DOTS-1568
28B2	dots2568	BRAILLE PATTERN DOTS-2568
28B3	dots12568	BRAILLE PATTERN DOTS-12568
28B4	dots3568	BRAILLE PATTERN DOTS-3568
28B5	dots13568	BRAILLE PATTERN DOTS-13568
28B6	dots23568	BRAILLE PATTERN DOTS-23568
28B7	dots123568	BRAILLE PATTERN DOTS-123568
28B8	dots4568	BRAILLE PATTERN DOTS-4568
28B9	dots14568	BRAILLE PATTERN DOTS-14568
28BA	dots24568	BRAILLE PATTERN DOTS-24568
28BB	dots124568	BRAILLE PATTERN DOTS-124568
28BC	dots34568	BRAILLE PATTERN DOTS-34568
28BD	dots134568	BRAILLE PATTERN DOTS-134568
28BE	dots234568	BRAILLE PATTERN DOTS-234568
28BF	dots1234568	BRAILLE PATTERN DOTS-1234568
28C0	dots78	BRAILLE PATTERN DOTS-78
28C1	dots178	BRAILLE PATTERN DOTS-178
28C2	dots278	BRAILLE PATTERN DOTS-278
28C3	dots1278	BRAILLE PATTERN DOTS-1278
28C4	dots378	BRAILLE PATTERN DOTS-378
28C5	dots1378	BRAILLE PATTERN DOTS-1378
28C6	dots2378	BRAILLE PATTERN DOTS-2378
28C7	dots12378	BRAILLE PATTERN DOTS-12378
28C8	dots478	BRAILLE PATTERN DOTS-478
28C9	dots1478	BRAILLE PATTERN DOTS-1478
28CA	dots2478	BRAILLE PATTERN DOTS-2478
28CB	dots12478	BRAILLE PATTERN DOTS-12478
28CC	dots3478	BRAILLE PATTERN DOTS-3478
28CD	dots13478	BRAILLE PATTERN DOTS-13478
28CE	dots23478	BRAILLE PATTERN DOTS-23478
28CF	dots123478	BRAILLE PATTERN DOTS-123478
28D0	dots578	BRAILLE PATTERN DOTS-578
28D1	dots1578	BRAILLE PATTERN DOTS-1578
28D2	dots2578	BRAILLE PATTERN DOTS-2578
28D3	dots12578	BRAILLE PATTERN DOTS-12578
28D4	dots3578	BRAILLE PATTERN DOTS-3578
28D5	dots13578	BRAILLE PATTERN DOTS-13578
28D6	dots23578	BRAILLE PATTERN DOTS-23578
28D7	dots123578	BRAILLE PATTERN DOTS-123578
28D8	dots4578	BRAILLE PATTERN DOTS-4578
28D9	dots14578	BRAILLE PATTERN DOTS-14578
28DA	dots24578	BRAILLE PATTERN DOTS-24578
28DB	dots124578	BRAILLE PATTERN DOTS-124578
28DC	dots34578	BRAILLE PATTERN DOTS-34578
28DD	dots134578	BRAILLE PATTERN DOTS-134578
28DE	dots234578	BRAILLE PATTERN DOTS-234578
28DF	dots1234578	BRAILLE PATTERN DOTS-1234578
28E0	dots678	BRAILLE PATTERN DOTS-678
28E1	dots1678	BRAILLE PATTERN DOTS-1678
28E2	dots2678	BRAILLE PATTERN DOTS-2678
28E3	dots12678	BRAILLE PATTERN DOTS-12678
28E4	dots3678	BRAILLE PATTERN DOTS-3678
28E5	dots13678	BRAILLE PATTERN DOTS-13678
28E6	dots23678	BRAILLE PATTERN DOTS-23678
28E7	dots123678	BRAILLE PATTERN DOTS-123678
28E8	dots4678	BRAILLE PATTERN DOTS-4678
28E9	dots14678	BRAILLE PATTERN DOTS-14678
28EA	dots24678	BRAILLE PATTERN DOTS-24678
28EB	dots124678	BRAILLE PATTERN DOTS-124678
28EC	dots34678	BRAILLE PATTERN DOTS-34678
28ED	dots134678	BRAILLE PATTERN DOTS-134678
28EE	dots234678	BRAILLE PATTERN DOTS-234678
28EF	dots1234678	BRAILLE PATTERN DOTS-1234678
28F0	dots5678	BRAILLE PATTERN DOTS-5678
28F1	dots15678	BRAILLE PATTERN DOTS-15678
28F2	dots25678	BRAILLE PATTERN DOTS-25678
28F3	dots125678	BRAILLE PATTERN DOTS-125678
28F4	dots35678	BRAILLE PATTERN DOTS-35678
28F5	dots135678	BRAILLE PATTERN DOTS-135678
28F6	dots235678	BRAILLE PATTERN DOTS-235678
28F7	dots1235678	BRAILLE PATTERN DOTS-1235678
28F8	dots45678	BRAILLE PATTERN DOTS-45678
28F9	dots145678	BRAILLE PATTERN DOTS-145678
28FA	dots245678	BRAILLE PATTERN DOTS-245678
28FB	dots1245678	BRAILLE PATTERN DOTS-1245678
28FC	dots345678	BRAILLE PATTERN DOTS-345678
28FD	dots1345678	BRAILLE PATTERN DOTS-1345678
28FE	dots2345678	BRAILLE PATTERN DOTS-2345678
28FF	dots12345678	BRAILLE PATTERN DOTS-12345678
