# Hangul Jamo 01100 - 011FF
114E	ko:chitueumcieucchoseong	HANGUL CHOSEONG CHITUEUMCIEUC
114F	ko:chitueumssangcieucchoseong	HANGUL CHOSEONG CHITUEUMSSANGCIEUC
1150	ko:ceongchieumcieucchoseong	HANGUL CHOSEONG CEONGCHIEUMCIEUC
1151	ko:ceongchieumssangcieucchoseong	HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC
1152	ko:chieuchkhieukhchoseong	HANGUL CHOSEONG CHIEUCH-KHIEUKH
1153	ko:chieuchhieuhchoseong	HANGUL CHOSEONG CHIEUCH-HIEUH
1154	ko:chitueumchieuchchoseong	HANGUL CHOSEONG CHITUEUMCHIEUCH
1155	ko:ceongchieumchieuchchoseong	HANGUL CHOSEONG CEONGCHIEUMCHIEUCH
1156	ko:phieuphpieupchoseong	HANGUL CHOSEONG PHIEUPH-PIEUP
1157	ko:kapyeounphieuphchoseong	HANGUL CHOSEONG KAPYEOUNPHIEUPH
1158	ko:ssanghieuhchoseong	HANGUL CHOSEONG SSANGHIEUH
1159	ko:yeorinhieuhchoseong	HANGUL CHOSEONG YEORINHIEUH
115A	ko:kiyeoktikeutchoseong	HANGUL CHOSEONG KIYEOK-TIKEUT
115B	ko:nieunsioschoseong	HANGUL CHOSEONG NIEUN-SIOS
115C	ko:nieuncieucchoseong	HANGUL CHOSEONG NIEUN-CIEUC
115D	ko:nieunhieuhchoseong	HANGUL CHOSEONG NIEUN-HIEUH
115E	ko:tikeutrieulchoseong	HANGUL CHOSEONG TIKEUT-RIEUL
115F	ko:fillerchoseong	HANGUL CHOSEONG FILLER
1160	ko:fillerjungseong	HANGUL JUNGSEONG FILLER
1161	ko:ajungseong	HANGUL JUNGSEONG A
1162	ko:aejungseong	HANGUL JUNGSEONG AE
1163	ko:yajungseong	HANGUL JUNGSEONG YA
1164	ko:yaejungseong	HANGUL JUNGSEONG YAE
1165	ko:eojungseong	HANGUL JUNGSEONG EO
1166	ko:ejungseong	HANGUL JUNGSEONG E
1167	ko:yeojungseong	HANGUL JUNGSEONG YEO
1168	ko:yejungseong	HANGUL JUNGSEONG YE
1169	ko:ojungseong	HANGUL JUNGSEONG O
116A	ko:wajungseong	HANGUL JUNGSEONG WA
116B	ko:waejungseong	HANGUL JUNGSEONG WAE
116C	ko:oejungseong	HANGUL JUNGSEONG OE
116D	ko:yojungseong	HANGUL JUNGSEONG YO
116E	ko:ujungseong	HANGUL JUNGSEONG U
116F	ko:weojungseong	HANGUL JUNGSEONG WEO
1170	ko:wejungseong	HANGUL JUNGSEONG WE
1171	ko:wijungseong	HANGUL JUNGSEONG WI
1172	ko:yujungseong	HANGUL JUNGSEONG YU
1173	ko:eujungseong	HANGUL JUNGSEONG EU
1174	ko:yijungseong	HANGUL JUNGSEONG YI
1175	ko:ijungseong	HANGUL JUNGSEONG I
1176	ko:aojungseong	HANGUL JUNGSEONG A-O
1177	ko:aujungseong	HANGUL JUNGSEONG A-U
1178	ko:yaojungseong	HANGUL JUNGSEONG YA-O
1179	ko:yayojungseong	HANGUL JUNGSEONG YA-YO
117A	ko:eoojungseong	HANGUL JUNGSEONG EO-O
117B	ko:eoujungseong	HANGUL JUNGSEONG EO-U
117C	ko:eo_eujungseong	HANGUL JUNGSEONG EO-EU
117D	ko:yeoojungseong	HANGUL JUNGSEONG YEO-O
117E	ko:yeoujungseong	HANGUL JUNGSEONG YEO-U
117F	ko:o_eojungseong	HANGUL JUNGSEONG O-EO
1180	ko:o_ejungseong	HANGUL JUNGSEONG O-E
1181	ko:oyejungseong	HANGUL JUNGSEONG O-YE
1182	ko:oojungseong	HANGUL JUNGSEONG O-O
1183	ko:oujungseong	HANGUL JUNGSEONG O-U
1184	ko:yoyajungseong	HANGUL JUNGSEONG YO-YA
1185	ko:yoyaejungseong	HANGUL JUNGSEONG YO-YAE
1186	ko:yoyeojungseong	HANGUL JUNGSEONG YO-YEO
1187	ko:yoojungseong	HANGUL JUNGSEONG YO-O
1188	ko:yoijungseong	HANGUL JUNGSEONG YO-I
1189	ko:uajungseong	HANGUL JUNGSEONG U-A
118A	ko:uaejungseong	HANGUL JUNGSEONG U-AE
118B	ko:ueo_eujungseong	HANGUL JUNGSEONG U-EO-EU
118C	ko:uyejungseong	HANGUL JUNGSEONG U-YE
118D	ko:uujungseong	HANGUL JUNGSEONG U-U
118E	ko:yuajungseong	HANGUL JUNGSEONG YU-A
118F	ko:yueojungseong	HANGUL JUNGSEONG YU-EO
1190	ko:yuejungseong	HANGUL JUNGSEONG YU-E
1191	ko:yuyeojungseong	HANGUL JUNGSEONG YU-YEO
1192	ko:yuyejungseong	HANGUL JUNGSEONG YU-YE
1193	ko:yuujungseong	HANGUL JUNGSEONG YU-U
1194	ko:yuijungseong	HANGUL JUNGSEONG YU-I
1195	ko:euujungseong	HANGUL JUNGSEONG EU-U
1196	ko:eueujungseong	HANGUL JUNGSEONG EU-EU
1197	ko:yiujungseong	HANGUL JUNGSEONG YI-U
1198	ko:iajungseong	HANGUL JUNGSEONG I-A
1199	ko:iyajungseong	HANGUL JUNGSEONG I-YA
119A	ko:iojungseong	HANGUL JUNGSEONG I-O
119B	ko:iujungseong	HANGUL JUNGSEONG I-U
119C	ko:ieujungseong	HANGUL JUNGSEONG I-EU
119D	ko:iaraeajungseong	HANGUL JUNGSEONG I-ARAEA
119E	ko:araeajungseong	HANGUL JUNGSEONG ARAEA
119F	ko:araeaeojungseong	HANGUL JUNGSEONG ARAEA-EO
11A0	ko:araeaujungseong	HANGUL JUNGSEONG ARAEA-U
11A1	ko:araeaijungseong	HANGUL JUNGSEONG ARAEA-I
11A2	ko:ssangaraeajungseong	HANGUL JUNGSEONG SSANGARAEA
11A3	ko:aeujungseong	HANGUL JUNGSEONG A-EU
11A4	ko:yaujungseong	HANGUL JUNGSEONG YA-U
11A5	ko:yeoyajungseong	HANGUL JUNGSEONG YEO-YA
11A6	ko:oyajungseong	HANGUL JUNGSEONG O-YA
11A7	ko:oyaejungseong	HANGUL JUNGSEONG O-YAE
11A8	ko:kiyeokjongseong	HANGUL JONGSEONG KIYEOK
11A9	ko:ssangkiyeokjongseong	HANGUL JONGSEONG SSANGKIYEOK
11AA	ko:kiyeoksiosjongseong	HANGUL JONGSEONG KIYEOK-SIOS
11AB	ko:nieunjongseong	HANGUL JONGSEONG NIEUN
11AC	ko:nieuncieucjongseong	HANGUL JONGSEONG NIEUN-CIEUC
11AD	ko:nieunhieuhjongseong	HANGUL JONGSEONG NIEUN-HIEUH
11AE	ko:tikeutjongseong	HANGUL JONGSEONG TIKEUT
11AF	ko:rieuljongseong	HANGUL JONGSEONG RIEUL
11B0	ko:rieulkiyeokjongseong	HANGUL JONGSEONG RIEUL-KIYEOK
11B1	ko:rieulmieumjongseong	HANGUL JONGSEONG RIEUL-MIEUM
11B2	ko:rieulpieupjongseong	HANGUL JONGSEONG RIEUL-PIEUP
11B3	ko:rieulsiosjongseong	HANGUL JONGSEONG RIEUL-SIOS
11B4	ko:rieulthieuthjongseong	HANGUL JONGSEONG RIEUL-THIEUTH
11B5	ko:rieulphieuphjongseong	HANGUL JONGSEONG RIEUL-PHIEUPH
11B6	ko:rieulhieuhjongseong	HANGUL JONGSEONG RIEUL-HIEUH
11B7	ko:mieumjongseong	HANGUL JONGSEONG MIEUM
11B8	ko:pieupjongseong	HANGUL JONGSEONG PIEUP
11B9	ko:pieupsiosjongseong	HANGUL JONGSEONG PIEUP-SIOS
11BA	ko:siosjongseong	HANGUL JONGSEONG SIOS
11BB	ko:ssangsiosjongseong	HANGUL JONGSEONG SSANGSIOS
11BC	ko:ieungjongseong	HANGUL JONGSEONG IEUNG
11BD	ko:cieucjongseong	HANGUL JONGSEONG CIEUC
11BE	ko:chieuchjongseong	HANGUL JONGSEONG CHIEUCH
11BF	ko:khieukhjongseong	HANGUL JONGSEONG KHIEUKH
11C0	ko:thieuthjongseong	HANGUL JONGSEONG THIEUTH
11C1	ko:phieuphjongseong	HANGUL JONGSEONG PHIEUPH
11C2	ko:hieuhjongseong	HANGUL JONGSEONG HIEUH
11C3	ko:kiyeokrieuljongseong	HANGUL JONGSEONG KIYEOK-RIEUL
11C4	ko:kiyeoksioskiyeokjongseong	HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK
