# Enclosed CJK Letters and Months 03200 - 032FF
325D	thirtythreecircle	CIRCLED NUMBER THIRTY THREE
325E	thirtyfourcircle	CIRCLED NUMBER THIRTY FOUR
325F	thirtyfivecircle	CIRCLED NUMBER THIRTY FIVE
3260	kiyeokcirclekorean	CIRCLED HANGUL KIYEOK
3261	nieuncirclekorean	CIRCLED HANGUL NIEUN
3262	tikeutcirclekorean	CIRCLED HANGUL TIKEUT
3263	rieulcirclekorean	CIRCLED HANGUL RIEUL
3264	mieumcirclekorean	CIRCLED HANGUL MIEUM
3265	pieupcirclekorean	CIRCLED HANGUL PIEUP
3266	sioscirclekorean	CIRCLED HANGUL SIOS
3267	ieungcirclekorean	CIRCLED HANGUL IEUNG
3268	cieuccirclekorean	CIRCLED HANGUL CIEUC
3269	chieuchcirclekorean	CIRCLED HANGUL CHIEUCH
326A	khieukhcirclekorean	CIRCLED HANGUL KHIEUKH
326B	thieuthcirclekorean	CIRCLED HANGUL THIEUTH
326C	phieuphcirclekorean	CIRCLED HANGUL PHIEUPH
326D	hieuhcirclekorean	CIRCLED HANGUL HIEUH
326E	kiyeokacirclekorean	CIRCLED HANGUL KIYEOK A
326F	nieunacirclekorean	CIRCLED HANGUL NIEUN A
3270	tikeutacirclekorean	CIRCLED HANGUL TIKEUT A
3271	rieulacirclekorean	CIRCLED HANGUL RIEUL A
3272	mieumacirclekorean	CIRCLED HANGUL MIEUM A
3273	pieupacirclekorean	CIRCLED HANGUL PIEUP A
3274	siosacirclekorean	CIRCLED HANGUL SIOS A
3275	ieungacirclekorean	CIRCLED HANGUL IEUNG A
3276	cieucacirclekorean	CIRCLED HANGUL CIEUC A
3277	chieuchacirclekorean	CIRCLED HANGUL CHIEUCH A
3278	khieukhacirclekorean	CIRCLED HANGUL KHIEUKH A
3279	thieuthacirclekorean	CIRCLED HANGUL THIEUTH A
327A	phieuphacirclekorean	CIRCLED HANGUL PHIEUPH A
327B	hieuhacirclekorean	CIRCLED HANGUL HIEUH A
327C	chamkocircle	CIRCLED KOREAN CHARACTER CHAMKO
327D	jueuicircle	CIRCLED KOREAN CHARACTER JUEUI
327E	ieungucirclekorean	CIRCLED HANGUL IEUNG U
327F	koreanstandardsymbol	KOREAN STANDARD SYMBOL
3280	oneideographiccircled	CIRCLED IDEOGRAPH ONE
3281	twoideographiccircled	CIRCLED IDEOGRAPH TWO
3282	threeideographiccircled	CIRCLED IDEOGRAPH THREE
3283	fourideographiccircled	CIRCLED IDEOGRAPH FOUR
3284	fiveideographiccircled	CIRCLED IDEOGRAPH FIVE
3285	sixideographiccircled	CIRCLED IDEOGRAPH SIX
3286	sevenideographiccircled	CIRCLED IDEOGRAPH SEVEN
3287	eightideographiccircled	CIRCLED IDEOGRAPH EIGHT
3288	nineideographiccircled	CIRCLED IDEOGRAPH NINE
3289	tenideographiccircled	CIRCLED IDEOGRAPH TEN
328A	moonideographiccircled	CIRCLED IDEOGRAPH MOON
328B	fireideographiccircled	CIRCLED IDEOGRAPH FIRE
328C	waterideographiccircled	CIRCLED IDEOGRAPH WATER
328D	woodideographiccircled	CIRCLED IDEOGRAPH WOOD
328E	metalideographiccircled	CIRCLED IDEOGRAPH METAL
328F	earthideographiccircled	CIRCLED IDEOGRAPH EARTH
3290	sunideographiccircled	CIRCLED IDEOGRAPH SUN
3291	stockideographiccircled	CIRCLED IDEOGRAPH STOCK
3292	haveideographiccircled	CIRCLED IDEOGRAPH HAVE
3293	societyideographiccircled	CIRCLED IDEOGRAPH SOCIETY
3294	nameideographiccircled	CIRCLED IDEOGRAPH NAME
3295	specialideographiccircled	CIRCLED IDEOGRAPH SPECIAL
3296	financialideographiccircled	CIRCLED IDEOGRAPH FINANCIAL
3297	congratulationideographiccircled	CIRCLED IDEOGRAPH CONGRATULATION
3298	laborideographiccircled	CIRCLED IDEOGRAPH LABOR
3299	secretideographiccircled	CIRCLED IDEOGRAPH SECRET
329A	maleideographiccircled	CIRCLED IDEOGRAPH MALE
329B	femaleideographiccircled	CIRCLED IDEOGRAPH FEMALE
329C	suitableideographiccircled	CIRCLED IDEOGRAPH SUITABLE
329D	excellentideographiccircled	CIRCLED IDEOGRAPH EXCELLENT
329E	printideographiccircled	CIRCLED IDEOGRAPH PRINT
329F	attentionideographiccircled	CIRCLED IDEOGRAPH ATTENTION
32A0	itemideographiccircled	CIRCLED IDEOGRAPH ITEM
32A1	restideographiccircled	CIRCLED IDEOGRAPH REST
32A2	copyideographiccircled	CIRCLED IDEOGRAPH COPY
32A3	correctideographiccircled	CIRCLED IDEOGRAPH CORRECT
32A4	highideographiccircled	CIRCLED IDEOGRAPH HIGH
32A5	centreideographiccircled	CIRCLED IDEOGRAPH CENTRE
32A6	lowideographiccircled	CIRCLED IDEOGRAPH LOW
32A7	leftideographiccircled	CIRCLED IDEOGRAPH LEFT
32A8	rightideographiccircled	CIRCLED IDEOGRAPH RIGHT
32A9	medicineideographiccircled	CIRCLED IDEOGRAPH MEDICINE
32AA	religionideographiccircled	CIRCLED IDEOGRAPH RELIGION
32AB	studyideographiccircled	CIRCLED IDEOGRAPH STUDY
32AC	superviseideographiccircled	CIRCLED IDEOGRAPH SUPERVISE
32AD	enterpriseideographiccircled	CIRCLED IDEOGRAPH ENTERPRISE
32AE	resourceideographiccircled	CIRCLED IDEOGRAPH RESOURCE
32AF	allianceideographiccircled	CIRCLED IDEOGRAPH ALLIANCE
32B0	nightideographiccircled	CIRCLED IDEOGRAPH NIGHT
32B1	thirtysixcircle	CIRCLED NUMBER THIRTY SIX
32B2	thirtysevencircle	CIRCLED NUMBER THIRTY SEVEN
32B3	thirtyeightcircle	CIRCLED NUMBER THIRTY EIGHT
32B4	thirtyninecircle	CIRCLED NUMBER THIRTY NINE
32B5	fortycircle	CIRCLED NUMBER FORTY
32B6	fortyonecircle	CIRCLED NUMBER FORTY ONE
32B7	fortytwocircle	CIRCLED NUMBER FORTY TWO
32B8	fortythreecircle	CIRCLED NUMBER FORTY THREE
32B9	fortyfourcircle	CIRCLED NUMBER FORTY FOUR
32BA	fortyfivecircle	CIRCLED NUMBER FORTY FIVE
32BB	fortysixcircle	CIRCLED NUMBER FORTY SIX
32BC	fortysevencircle	CIRCLED NUMBER FORTY SEVEN
32BD	fortyeightcircle	CIRCLED NUMBER FORTY EIGHT
32BE	fortyninecircle	CIRCLED NUMBER FORTY NINE
32BF	fiftycircle	CIRCLED NUMBER FIFTY
32C0	januarytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY
32C1	februarytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY
32C2	marchtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH
32C3	apriltelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL
32C4	maytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY
32C5	junetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE
32C6	julytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY
32C7	augusttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST
32C8	septembertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER
32C9	octobertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER
32CA	novembertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER
32CB	decembertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER
32CC	Hgfullwidth	SQUARE HG
32CD	ergfullwidth	SQUARE ERG
32CE	eVfullwidth	SQUARE EV
32CF	LTDfullwidth	LIMITED LIABILITY SIGN
32D0	acirclekatakana	CIRCLED KATAKANA A
32D1	icirclekatakana	CIRCLED KATAKANA I
32D2	ucirclekatakana	CIRCLED KATAKANA U
32D3	ecirclekatakana	CIRCLED KATAKANA E
32D4	ocirclekatakana	CIRCLED KATAKANA O
32D5	kacirclekatakana	CIRCLED KATAKANA KA
32D6	kicirclekatakana	CIRCLED KATAKANA KI
32D7	kucirclekatakana	CIRCLED KATAKANA KU
32D8	kecirclekatakana	CIRCLED KATAKANA KE
32D9	kocirclekatakana	CIRCLED KATAKANA KO
32DA	sacirclekatakana	CIRCLED KATAKANA SA
32DB	sicirclekatakana	CIRCLED KATAKANA SI
32DC	sucirclekatakana	CIRCLED KATAKANA SU
32DD	secirclekatakana	CIRCLED KATAKANA SE
32DE	socirclekatakana	CIRCLED KATAKANA SO
32DF	tacirclekatakana	CIRCLED KATAKANA TA
32E0	ticirclekatakana	CIRCLED KATAKANA TI
32E1	tucirclekatakana	CIRCLED KATAKANA TU
32E2	tecirclekatakana	CIRCLED KATAKANA TE
32E3	tocirclekatakana	CIRCLED KATAKANA TO
32E4	nacirclekatakana	CIRCLED KATAKANA NA
32E5	nicirclekatakana	CIRCLED KATAKANA NI
32E6	nucirclekatakana	CIRCLED KATAKANA NU
32E7	necirclekatakana	CIRCLED KATAKANA NE
32E8	nocirclekatakana	CIRCLED KATAKANA NO
32E9	hacirclekatakana	CIRCLED KATAKANA HA
32EA	hicirclekatakana	CIRCLED KATAKANA HI
32EB	hucirclekatakana	CIRCLED KATAKANA HU
32EC	hecirclekatakana	CIRCLED KATAKANA HE
32ED	hocirclekatakana	CIRCLED KATAKANA HO
32EE	macirclekatakana	CIRCLED KATAKANA MA
32EF	micirclekatakana	CIRCLED KATAKANA MI
32F0	mucirclekatakana	CIRCLED KATAKANA MU
32F1	mecirclekatakana	CIRCLED KATAKANA ME
32F2	mocirclekatakana	CIRCLED KATAKANA MO
32F3	yacirclekatakana	CIRCLED KATAKANA YA
32F4	yucirclekatakana	CIRCLED KATAKANA YU
32F5	yocirclekatakana	CIRCLED KATAKANA YO
32F6	racirclekatakana	CIRCLED KATAKANA RA
32F7	ricirclekatakana	CIRCLED KATAKANA RI
32F8	rucirclekatakana	CIRCLED KATAKANA RU
32F9	recirclekatakana	CIRCLED KATAKANA RE
32FA	rocirclekatakana	CIRCLED KATAKANA RO
32FB	wacirclekatakana	CIRCLED KATAKANA WA
32FC	wicirclekatakana	CIRCLED KATAKANA WI
32FD	wecirclekatakana	CIRCLED KATAKANA WE
32FE	wocirclekatakana	CIRCLED KATAKANA WO
32FF	squareeranamereiwa	SQUARE ERA NAME REIWA
